Dependency=Location Region	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 80 gal	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless
CR02	Electricity	0.084566	0.471945	0.417396	0.026093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.423513	0.518097	0.058390	0.000000	0.000000	0.000000	0.000000
CR02	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR02	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.214213	0.696847	0.088941
CR03	Electricity	0.083805	0.465380	0.413402	0.037413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.318978	0.088197	0.592825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.391460	0.531185	0.077355	0.000000	0.000000	0.000000	0.000000
CR03	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR03	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.319436	0.519710	0.160854
CR04	Electricity	0.090330	0.418447	0.447631	0.043592	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.375661	0.574470	0.049870	0.000000	0.000000	0.000000	0.000000
CR04	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR04	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.262783	0.639923	0.097294
CR05	Electricity	0.086456	0.453135	0.427310	0.033099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.395897	0.548522	0.055582	0.000000	0.000000	0.000000	0.000000
CR05	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR05	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.347109	0.532361	0.120530
CR06	Electricity	0.106671	0.459972	0.402207	0.031151	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.450067	0.507423	0.042511	0.000000	0.000000	0.000000	0.000000
CR06	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR06	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.341479	0.592450	0.066072
CR07	Electricity	0.082364	0.470212	0.405843	0.041582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.170013	0.176617	0.653370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.378662	0.551608	0.069730	0.000000	0.000000	0.000000	0.000000
CR07	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR07	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.241434	0.640542	0.118023
CR08	Electricity	0.091803	0.426886	0.455358	0.025954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.385940	0.553733	0.060327	0.000000	0.000000	0.000000	0.000000
CR08	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.242562	0.625158	0.132280
CR09	Electricity	0.090874	0.421811	0.450486	0.036829	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.390148	0.550079	0.059773	0.000000	0.000000	0.000000	0.000000
CR09	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.229652	0.601226	0.169122
CR10	Electricity	0.091530	0.408004	0.453928	0.046538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	Natural Gas	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.389175	0.541448	0.069377	0.000000	0.000000	0.000000	0.000000
CR10	Other Fuel	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	Propane	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.232425	0.690562	0.077013
CR11	Electricity	0.078045	0.492324	0.383184	0.046447	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	Fuel Oil	0.000000	0.000000	0.000000	0.000000	0.093170	0.146220	0.760610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
