Hour of the year,Hour of the day,Day of the year,Month,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
19,19,1,1,227.8578604,190.4142406,313.6028596,420.3722745,410.0056153,210.1147712,336.1740255,193.4145047,255.7664724,609.0437282,432.4493162,560.3317107,188.614822,304.1202263,252.3049246,358.124033,425.6393891,478.4585185,450.6804238,417.2217071
20,20,1,1,227.2100196,192.8283306,309.4891253,415.7976375,411.7680689,211.1479914,336.3064944,193.0127608,255.3523792,606.6522096,435.5746309,561.3830381,192.3401925,313.6728837,249.4937957,364.7039465,435.8719282,480.3427736,457.22338,416.7799229
21,21,1,1,227.3919359,196.3984425,308.0097863,419.904662,423.9776663,210.6548456,336.6643322,192.5574254,257.8012705,596.2329493,434.0340769,569.3399566,192.6184408,309.2484108,248.4680787,383.0775155,444.8193228,482.5070672,487.3330423,424.997379
22,22,1,1,228.1554597,205.2258167,297.6274396,433.1885011,422.4231357,212.0869935,343.2616973,187.7328006,261.2561056,593.1363631,451.7813165,580.4349909,201.7501748,312.2228811,247.1164386,394.255513,444.9046303,503.316361,513.9525796,450.6889749
23,23,1,1,230.6457979,219.0144058,297.8528188,469.4926342,427.9656591,222.4766616,339.4976636,189.3745348,260.5836448,576.1733426,467.4960967,577.168808,193.3753134,321.9000175,248.7961342,405.1098429,460.8120414,532.0559675,526.8371621,458.6769451
24,0,2,1,232.9375319,226.9720641,304.8859511,499.9772227,424.4517106,219.8839512,334.1514157,191.6244609,258.996914,572.0505974,466.4290335,577.6881513,192.5424211,315.7567155,255.4511122,412.5943755,456.6407788,528.6525878,530.7762003,469.8769903
25,1,2,1,237.2625813,241.0704114,306.4344252,498.1090071,421.7368021,212.9152058,334.2730609,192.5282596,257.5251816,567.8456183,456.070804,575.8950853,196.2870086,322.6435855,251.7237475,410.1532559,458.3353737,528.5102271,534.3645772,462.3661752
26,2,2,1,238.7672242,244.5649816,305.8314743,500.3869809,427.6654439,219.4457243,333.0338669,196.3604914,255.5727431,566.7759593,456.2865363,573.0166808,194.1786039,328.2535092,259.9643591,407.5240419,466.3310795,535.7942009,528.5303072,461.377674
27,3,2,1,240.7331485,238.2045469,310.3975414,496.2388996,429.0243173,218.2423286,333.012951,194.4394055,254.9445716,569.8190577,460.715493,578.0915696,197.6744006,327.0963491,263.9432747,407.7327354,469.0555592,531.00342,520.5470607,463.2168289
28,4,2,1,238.6231563,227.5726383,309.6683297,489.070818,424.5997956,217.4622223,339.6356953,190.1180451,255.2091256,574.2925728,458.8132503,586.5501452,195.8683903,314.9639595,259.0729086,386.6080278,453.2851842,520.9479761,496.9253873,467.6572907
29,5,2,1,235.2354959,214.6445402,318.2430216,468.9139345,422.2783377,211.5728363,338.4246376,191.3210387,251.1109444,601.0038235,451.9244595,586.8970978,185.6944834,310.7209783,259.6647983,376.6731534,446.304495,498.9796164,469.387191,448.4624957
30,6,2,1,230.3114834,201.1959913,321.4721348,444.6581629,415.010712,209.6375193,338.4449943,189.4129678,246.5688986,614.9532615,448.5675121,581.6962326,193.8900655,309.7070895,259.1346107,371.0280932,431.7791701,492.7809493,458.1893247,439.3376616
31,7,2,1,218.2645199,149.6294952,288.8347038,380.2394328,337.7655467,201.3861924,306.6257955,169.0551593,230.0904599,557.5395065,436.523651,560.4726878,184.815263,281.4534902,238.8834558,311.6408024,346.486836,476.2409605,412.7062069,408.5166512
32,8,2,1,195.4115442,91.50172829,234.1955428,281.8468283,274.0760283,158.1097383,257.4913345,141.9040321,190.6347314,438.469456,397.7307741,441.8855973,155.7272881,226.3224048,194.3402803,265.1278597,294.4701746,365.4702953,348.9996764,330.7207957
33,9,2,1,194.3580996,89.86520557,209.9180983,245.3859506,264.562328,136.3343234,256.5053105,143.1279475,183.4975992,379.3092036,386.2089667,373.8059453,148.0564235,217.9981735,173.1924748,235.5597752,280.980876,292.2650106,325.6785219,283.4104902
34,10,2,1,193.4655922,90.63022328,218.385821,227.5002974,261.6914309,137.1725819,254.9766164,145.6004249,178.6943745,361.9774785,384.0200764,355.2420704,142.2160409,207.8542986,175.4455503,229.0773891,272.3123947,264.9869532,327.7536382,277.8170496
35,11,2,1,194.5402119,89.37981446,211.1244089,237.8958673,259.5490598,132.8025409,259.6493274,148.4871549,178.2760828,352.4104364,389.1698451,347.713403,149.1561636,208.1574699,174.9113374,230.3615829,271.7103273,269.2830595,321.2171833,269.9283049
36,12,2,1,193.4327192,90.74779967,209.7856982,242.0215297,254.5760238,130.9786947,258.0277812,146.8640338,180.1380239,348.4408851,386.2559936,344.7726339,152.6148545,210.1112285,167.6926835,226.6112324,273.869624,281.8128463,316.0475402,281.2039307
37,13,2,1,193.6202136,87.65721913,200.6153814,240.4661731,254.9698324,132.2801218,251.8718708,139.7753504,178.2999081,352.939556,386.2996763,345.1695568,156.1924242,198.2487655,165.5683087,227.498716,268.1123206,275.6714501,319.4947505,277.1445483
38,14,2,1,189.120856,93.76269844,205.144139,246.5301075,262.9038611,125.3965904,257.4514321,144.7861738,186.365623,360.448293,383.8574644,352.3542172,149.2343426,193.1452824,172.0873527,229.2930984,268.4653435,283.1671584,324.0492738,288.8994419
39,15,2,1,203.0938555,122.7001406,210.4275494,265.7578954,325.4249965,144.7241098,309.8914203,167.6734809,215.880331,381.31069,388.6995851,363.3010291,168.9352248,224.9180611,179.4278213,240.8849837,329.8626965,293.2410422,333.8978781,286.8612351
40,16,2,1,223.5869171,198.9770134,254.5214378,322.899144,403.7767922,201.4697981,336.8004486,196.2574767,248.0686055,517.3446445,411.0485238,465.0814775,183.358713,274.7565495,212.6857669,298.1036594,403.8071034,331.9015758,382.034187,357.5084333
41,17,2,1,227.3463666,192.258524,308.8250303,414.7270226,408.3362356,209.5279821,333.8802548,193.0366131,259.1934315,601.1557881,436.894191,553.1276975,184.6664663,303.3805282,259.2711855,348.1610772,419.6833956,441.1207912,442.8000889,411.4340171
42,18,2,1,228.2081709,189.2894678,308.3534877,418.4268206,405.3696306,206.4009702,335.2526144,196.0507776,258.478538,609.3622762,435.6144739,561.0532306,180.2809665,310.1712572,254.0188365,354.3097604,421.7935022,479.649054,445.3518226,415.18943
43,19,2,1,227.8578604,190.4142406,313.6028596,420.3722745,410.0056153,210.1147712,336.1740255,193.4145047,255.7664724,609.0437282,432.4493162,560.3317107,188.614822,304.1202263,252.3049246,358.124033,425.6393891,478.4585185,450.6804238,417.2217071
44,20,2,1,227.2100196,192.8283306,309.4891253,415.7976375,411.7680689,211.1479914,336.3064944,193.0127608,255.3523792,606.6522096,435.5746309,561.3830381,192.3401925,313.6728837,249.4937957,364.7039465,435.8719282,480.3427736,457.22338,416.7799229
45,21,2,1,227.3919359,196.3984425,308.0097863,419.904662,423.9776663,210.6548456,336.6643322,192.5574254,257.8012705,596.2329493,434.0340769,569.3399566,192.6184408,309.2484108,248.4680787,383.0775155,444.8193228,482.5070672,487.3330423,424.997379
46,22,2,1,228.1554597,205.2258167,297.6274396,433.1885011,422.4231357,212.0869935,343.2616973,187.7328006,261.2561056,593.1363631,451.7813165,580.4349909,201.7501748,312.2228811,247.1164386,394.255513,444.9046303,503.316361,513.9525796,450.6889749
47,23,2,1,230.6457979,219.0144058,297.8528188,469.4926342,427.9656591,222.4766616,339.4976636,189.3745348,260.5836448,576.1733426,467.4960967,577.168808,193.3753134,321.9000175,248.7961342,405.1098429,460.8120414,532.0559675,526.8371621,458.6769451
48,0,3,1,232.9375319,226.9720641,304.8859511,499.9772227,424.4517106,219.8839512,334.1514157,191.6244609,258.996914,572.0505974,466.4290335,577.6881513,192.5424211,315.7567155,255.4511122,412.5943755,456.6407788,528.6525878,530.7762003,469.8769903
49,1,3,1,237.2625813,241.0704114,306.4344252,498.1090071,421.7368021,212.9152058,334.2730609,192.5282596,257.5251816,567.8456183,456.070804,575.8950853,196.2870086,322.6435855,251.7237475,410.1532559,458.3353737,528.5102271,534.3645772,462.3661752
50,2,3,1,238.7672242,244.5649816,305.8314743,500.3869809,427.6654439,219.4457243,333.0338669,196.3604914,255.5727431,566.7759593,456.2865363,573.0166808,194.1786039,328.2535092,259.9643591,407.5240419,466.3310795,535.7942009,528.5303072,461.377674
51,3,3,1,240.7331485,238.2045469,310.3975414,496.2388996,429.0243173,218.2423286,333.012951,194.4394055,254.9445716,569.8190577,460.715493,578.0915696,197.6744006,327.0963491,263.9432747,407.7327354,469.0555592,531.00342,520.5470607,463.2168289
52,4,3,1,238.6231563,227.5726383,309.6683297,489.070818,424.5997956,217.4622223,339.6356953,190.1180451,255.2091256,574.2925728,458.8132503,586.5501452,195.8683903,314.9639595,259.0729086,386.6080278,453.2851842,520.9479761,496.9253873,467.6572907
53,5,3,1,235.2354959,214.6445402,318.2430216,468.9139345,422.2783377,211.5728363,338.4246376,191.3210387,251.1109444,601.0038235,451.9244595,586.8970978,185.6944834,310.7209783,259.6647983,376.6731534,446.304495,498.9796164,469.387191,448.4624957
54,6,3,1,230.3114834,201.1959913,321.4721348,444.6581629,415.010712,209.6375193,338.4449943,189.4129678,246.5688986,614.9532615,448.5675121,581.6962326,193.8900655,309.7070895,259.1346107,371.0280932,431.7791701,492.7809493,458.1893247,439.3376616
55,7,3,1,218.2645199,149.6294952,288.8347038,380.2394328,337.7655467,201.3861924,306.6257955,169.0551593,230.0904599,557.5395065,436.523651,560.4726878,184.815263,281.4534902,238.8834558,311.6408024,346.486836,476.2409605,412.7062069,408.5166512
56,8,3,1,195.4115442,91.50172829,234.1955428,281.8468283,274.0760283,158.1097383,257.4913345,141.9040321,190.6347314,438.469456,397.7307741,441.8855973,155.7272881,226.3224048,194.3402803,265.1278597,294.4701746,365.4702953,348.9996764,330.7207957
57,9,3,1,194.3580996,89.86520557,209.9180983,245.3859506,264.562328,136.3343234,256.5053105,143.1279475,183.4975992,379.3092036,386.2089667,373.8059453,148.0564235,217.9981735,173.1924748,235.5597752,280.980876,292.2650106,325.6785219,283.4104902
58,10,3,1,193.4655922,90.63022328,218.385821,227.5002974,261.6914309,137.1725819,254.9766164,145.6004249,178.6943745,361.9774785,384.0200764,355.2420704,142.2160409,207.8542986,175.4455503,229.0773891,272.3123947,264.9869532,327.7536382,277.8170496
59,11,3,1,194.5402119,89.37981446,211.1244089,237.8958673,259.5490598,132.8025409,259.6493274,148.4871549,178.2760828,352.4104364,389.1698451,347.713403,149.1561636,208.1574699,174.9113374,230.3615829,271.7103273,269.2830595,321.2171833,269.9283049
60,12,3,1,193.4327192,90.74779967,209.7856982,242.0215297,254.5760238,130.9786947,258.0277812,146.8640338,180.1380239,348.4408851,386.2559936,344.7726339,152.6148545,210.1112285,167.6926835,226.6112324,273.869624,281.8128463,316.0475402,281.2039307
61,13,3,1,193.6202136,87.65721913,200.6153814,240.4661731,254.9698324,132.2801218,251.8718708,139.7753504,178.2999081,352.939556,386.2996763,345.1695568,156.1924242,198.2487655,165.5683087,227.498716,268.1123206,275.6714501,319.4947505,277.1445483
62,14,3,1,189.120856,93.76269844,205.144139,246.5301075,262.9038611,125.3965904,257.4514321,144.7861738,186.365623,360.448293,383.8574644,352.3542172,149.2343426,193.1452824,172.0873527,229.2930984,268.4653435,283.1671584,324.0492738,288.8994419
63,15,3,1,203.0938555,122.7001406,210.4275494,265.7578954,325.4249965,144.7241098,309.8914203,167.6734809,215.880331,381.31069,388.6995851,363.3010291,168.9352248,224.9180611,179.4278213,240.8849837,329.8626965,293.2410422,333.8978781,286.8612351
64,16,3,1,223.5869171,198.9770134,254.5214378,322.899144,403.7767922,201.4697981,336.8004486,196.2574767,248.0686055,517.3446445,411.0485238,465.0814775,183.358713,274.7565495,212.6857669,298.1036594,403.8071034,331.9015758,382.034187,357.5084333
65,17,3,1,227.3463666,192.258524,308.8250303,414.7270226,408.3362356,209.5279821,333.8802548,193.0366131,259.1934315,601.1557881,436.894191,553.1276975,184.6664663,303.3805282,259.2711855,348.1610772,419.6833956,441.1207912,442.8000889,411.4340171
66,18,3,1,228.2081709,189.2894678,308.3534877,418.4268206,405.3696306,206.4009702,335.2526144,196.0507776,258.478538,609.3622762,435.6144739,561.0532306,180.2809665,310.1712572,254.0188365,354.3097604,421.7935022,479.649054,445.3518226,415.18943
67,19,3,1,227.8578604,190.4142406,313.6028596,420.3722745,410.0056153,210.1147712,336.1740255,193.4145047,255.7664724,609.0437282,432.4493162,560.3317107,188.614822,304.1202263,252.3049246,358.124033,425.6393891,478.4585185,450.6804238,417.2217071
68,20,3,1,227.2100196,192.8283306,309.4891253,415.7976375,411.7680689,211.1479914,336.3064944,193.0127608,255.3523792,606.6522096,435.5746309,561.3830381,192.3401925,313.6728837,249.4937957,364.7039465,435.8719282,480.3427736,457.22338,416.7799229
69,21,3,1,227.3919359,196.3984425,308.0097863,419.904662,423.9776663,210.6548456,336.6643322,192.5574254,257.8012705,596.2329493,434.0340769,569.3399566,192.6184408,309.2484108,248.4680787,383.0775155,444.8193228,482.5070672,487.3330423,424.997379
70,22,3,1,228.1554597,205.2258167,297.6274396,433.1885011,422.4231357,212.0869935,343.2616973,187.7328006,261.2561056,593.1363631,451.7813165,580.4349909,201.7501748,312.2228811,247.1164386,394.255513,444.9046303,503.316361,513.9525796,450.6889749
71,23,3,1,230.6457979,219.0144058,297.8528188,469.4926342,427.9656591,222.4766616,339.4976636,189.3745348,260.5836448,576.1733426,467.4960967,577.168808,193.3753134,321.9000175,248.7961342,405.1098429,460.8120414,532.0559675,526.8371621,458.6769451
72,0,4,1,232.9375319,226.9720641,304.8859511,499.9772227,424.4517106,219.8839512,334.1514157,191.6244609,258.996914,572.0505974,466.4290335,577.6881513,192.5424211,315.7567155,255.4511122,412.5943755,456.6407788,528.6525878,530.7762003,469.8769903
73,1,4,1,237.2625813,241.0704114,306.4344252,498.1090071,421.7368021,212.9152058,334.2730609,192.5282596,257.5251816,567.8456183,456.070804,575.8950853,196.2870086,322.6435855,251.7237475,410.1532559,458.3353737,528.5102271,534.3645772,462.3661752
74,2,4,1,238.7672242,244.5649816,305.8314743,500.3869809,427.6654439,219.4457243,333.0338669,196.3604914,255.5727431,566.7759593,456.2865363,573.0166808,194.1786039,328.2535092,259.9643591,407.5240419,466.3310795,535.7942009,528.5303072,461.377674
75,3,4,1,240.7331485,238.2045469,310.3975414,496.2388996,429.0243173,218.2423286,333.012951,194.4394055,254.9445716,569.8190577,460.715493,578.0915696,197.6744006,327.0963491,263.9432747,407.7327354,469.0555592,531.00342,520.5470607,463.2168289
76,4,4,1,238.6231563,227.5726383,309.6683297,489.070818,424.5997956,217.4622223,339.6356953,190.1180451,255.2091256,574.2925728,458.8132503,586.5501452,195.8683903,314.9639595,259.0729086,386.6080278,453.2851842,520.9479761,496.9253873,467.6572907
77,5,4,1,235.2354959,214.6445402,318.2430216,468.9139345,422.2783377,211.5728363,338.4246376,191.3210387,251.1109444,601.0038235,451.9244595,586.8970978,185.6944834,310.7209783,259.6647983,376.6731534,446.304495,498.9796164,469.387191,448.4624957
78,6,4,1,230.3114834,201.1959913,321.4721348,444.6581629,415.010712,209.6375193,338.4449943,189.4129678,246.5688986,614.9532615,448.5675121,581.6962326,193.8900655,309.7070895,259.1346107,371.0280932,431.7791701,492.7809493,458.1893247,439.3376616
79,7,4,1,218.2645199,149.6294952,288.8347038,380.2394328,337.7655467,201.3861924,306.6257955,169.0551593,230.0904599,557.5395065,436.523651,560.4726878,184.815263,281.4534902,238.8834558,311.6408024,346.486836,476.2409605,412.7062069,408.5166512
80,8,4,1,195.4115442,91.50172829,234.1955428,281.8468283,274.0760283,158.1097383,257.4913345,141.9040321,190.6347314,438.469456,397.7307741,441.8855973,155.7272881,226.3224048,194.3402803,265.1278597,294.4701746,365.4702953,348.9996764,330.7207957
81,9,4,1,194.3580996,89.86520557,209.9180983,245.3859506,264.562328,136.3343234,256.5053105,143.1279475,183.4975992,379.3092036,386.2089667,373.8059453,148.0564235,217.9981735,173.1924748,235.5597752,280.980876,292.2650106,325.6785219,283.4104902
82,10,4,1,193.4655922,90.63022328,218.385821,227.5002974,261.6914309,137.1725819,254.9766164,145.6004249,178.6943745,361.9774785,384.0200764,355.2420704,142.2160409,207.8542986,175.4455503,229.0773891,272.3123947,264.9869532,327.7536382,277.8170496
83,11,4,1,194.5402119,89.37981446,211.1244089,237.8958673,259.5490598,132.8025409,259.6493274,148.4871549,178.2760828,352.4104364,389.1698451,347.713403,149.1561636,208.1574699,174.9113374,230.3615829,271.7103273,269.2830595,321.2171833,269.9283049
84,12,4,1,193.4327192,90.74779967,209.7856982,242.0215297,254.5760238,130.9786947,258.0277812,146.8640338,180.1380239,348.4408851,386.2559936,344.7726339,152.6148545,210.1112285,167.6926835,226.6112324,273.869624,281.8128463,316.0475402,281.2039307
85,13,4,1,193.6202136,87.65721913,200.6153814,240.4661731,254.9698324,132.2801218,251.8718708,139.7753504,178.2999081,352.939556,386.2996763,345.1695568,156.1924242,198.2487655,165.5683087,227.498716,268.1123206,275.6714501,319.4947505,277.1445483
86,14,4,1,189.120856,93.76269844,205.144139,246.5301075,262.9038611,125.3965904,257.4514321,144.7861738,186.365623,360.448293,383.8574644,352.3542172,149.2343426,193.1452824,172.0873527,229.2930984,268.4653435,283.1671584,324.0492738,288.8994419
87,15,4,1,203.0938555,122.7001406,210.4275494,265.7578954,325.4249965,144.7241098,309.8914203,167.6734809,215.880331,381.31069,388.6995851,363.3010291,168.9352248,224.9180611,179.4278213,240.8849837,329.8626965,293.2410422,333.8978781,286.8612351
88,16,4,1,223.5869171,198.9770134,254.5214378,322.899144,403.7767922,201.4697981,336.8004486,196.2574767,248.0686055,517.3446445,411.0485238,465.0814775,183.358713,274.7565495,212.6857669,298.1036594,403.8071034,331.9015758,382.034187,357.5084333
89,17,4,1,227.3463666,192.258524,308.8250303,414.7270226,408.3362356,209.5279821,333.8802548,193.0366131,259.1934315,601.1557881,436.894191,553.1276975,184.6664663,303.3805282,259.2711855,348.1610772,419.6833956,441.1207912,442.8000889,411.4340171
90,18,4,1,228.2081709,189.2894678,308.3534877,418.4268206,405.3696306,206.4009702,335.2526144,196.0507776,258.478538,609.3622762,435.6144739,561.0532306,180.2809665,310.1712572,254.0188365,354.3097604,421.7935022,479.649054,445.3518226,415.18943
91,19,4,1,227.8578604,190.4142406,313.6028596,420.3722745,410.0056153,210.1147712,336.1740255,193.4145047,255.7664724,609.0437282,432.4493162,560.3317107,188.614822,304.1202263,252.3049246,358.124033,425.6393891,478.4585185,450.6804238,417.2217071
92,20,4,1,227.2100196,192.8283306,309.4891253,415.7976375,411.7680689,211.1479914,336.3064944,193.0127608,255.3523792,606.6522096,435.5746309,561.3830381,192.3401925,313.6728837,249.4937957,364.7039465,435.8719282,480.3427736,457.22338,416.7799229
93,21,4,1,227.3919359,196.3984425,308.0097863,419.904662,423.9776663,210.6548456,336.6643322,192.5574254,257.8012705,596.2329493,434.0340769,569.3399566,192.6184408,309.2484108,248.4680787,383.0775155,444.8193228,482.5070672,487.3330423,424.997379
94,22,4,1,228.1554597,205.2258167,297.6274396,433.1885011,422.4231357,212.0869935,343.2616973,187.7328006,261.2561056,593.1363631,451.7813165,580.4349909,201.7501748,312.2228811,247.1164386,394.255513,444.9046303,503.316361,513.9525796,450.6889749
95,23,4,1,230.6457979,219.0144058,297.8528188,469.4926342,427.9656591,222.4766616,339.4976636,189.3745348,260.5836448,576.1733426,467.4960967,577.168808,193.3753134,321.9000175,248.7961342,405.1098429,460.8120414,532.0559675,526.8371621,458.6769451
96,0,5,1,232.9375319,226.9720641,304.8859511,499.9772227,424.4517106,219.8839512,334.1514157,191.6244609,258.996914,572.0505974,466.4290335,577.6881513,192.5424211,315.7567155,255.4511122,412.5943755,456.6407788,528.6525878,530.7762003,469.8769903
97,1,5,1,237.2625813,241.0704114,306.4344252,498.1090071,421.7368021,212.9152058,334.2730609,192.5282596,257.5251816,567.8456183,456.070804,575.8950853,196.2870086,322.6435855,251.7237475,410.1532559,458.3353737,528.5102271,534.3645772,462.3661752
98,2,5,1,238.7672242,244.5649816,305.8314743,500.3869809,427.6654439,219.4457243,333.0338669,196.3604914,255.5727431,566.7759593,456.2865363,573.0166808,194.1786039,328.2535092,259.9643591,407.5240419,466.3310795,535.7942009,528.5303072,461.377674
99,3,5,1,240.7331485,238.2045469,310.3975414,496.2388996,429.0243173,218.2423286,333.012951,194.4394055,254.9445716,569.8190577,460.715493,578.0915696,197.6744006,327.0963491,263.9432747,407.7327354,469.0555592,531.00342,520.5470607,463.2168289
100,4,5,1,238.6231563,227.5726383,309.6683297,489.070818,424.5997956,217.4622223,339.6356953,190.1180451,255.2091256,574.2925728,458.8132503,586.5501452,195.8683903,314.9639595,259.0729086,386.6080278,453.2851842,520.9479761,496.9253873,467.6572907
101,5,5,1,235.2354959,214.6445402,318.2430216,468.9139345,422.2783377,211.5728363,338.4246376,191.3210387,251.1109444,601.0038235,451.9244595,586.8970978,185.6944834,310.7209783,259.6647983,376.6731534,446.304495,498.9796164,469.387191,448.4624957
102,6,5,1,230.3114834,201.1959913,321.4721348,444.6581629,415.010712,209.6375193,338.4449943,189.4129678,246.5688986,614.9532615,448.5675121,581.6962326,193.8900655,309.7070895,259.1346107,371.0280932,431.7791701,492.7809493,458.1893247,439.3376616
103,7,5,1,218.2645199,149.6294952,288.8347038,380.2394328,337.7655467,201.3861924,306.6257955,169.0551593,230.0904599,557.5395065,436.523651,560.4726878,184.815263,281.4534902,238.8834558,311.6408024,346.486836,476.2409605,412.7062069,408.5166512
104,8,5,1,195.4115442,91.50172829,234.1955428,281.8468283,274.0760283,158.1097383,257.4913345,141.9040321,190.6347314,438.469456,397.7307741,441.8855973,155.7272881,226.3224048,194.3402803,265.1278597,294.4701746,365.4702953,348.9996764,330.7207957
105,9,5,1,194.3580996,89.86520557,209.9180983,245.3859506,264.562328,136.3343234,256.5053105,143.1279475,183.4975992,379.3092036,386.2089667,373.8059453,148.0564235,217.9981735,173.1924748,235.5597752,280.980876,292.2650106,325.6785219,283.4104902
106,10,5,1,193.4655922,90.63022328,218.385821,227.5002974,261.6914309,137.1725819,254.9766164,145.6004249,178.6943745,361.9774785,384.0200764,355.2420704,142.2160409,207.8542986,175.4455503,229.0773891,272.3123947,264.9869532,327.7536382,277.8170496
107,11,5,1,194.5402119,89.37981446,211.1244089,237.8958673,259.5490598,132.8025409,259.6493274,148.4871549,178.2760828,352.4104364,389.1698451,347.713403,149.1561636,208.1574699,174.9113374,230.3615829,271.7103273,269.2830595,321.2171833,269.9283049
