Hour of the year,Hour of the day,Day of the year,Month,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
25,1,2,1,190.4192823,190.8793753,260.2501464,428.880321,360.9212482,186.3486529,264.3902097,158.2098326,204.8469998,483.4963578,370.4763381,493.2125061,170.5693608,283.1905513,212.0343787,339.8144873,396.9361512,453.4554507,449.559902,399.7157155
26,2,2,1,191.2750226,193.7505885,259.5711203,429.8218382,366.3057828,192.2003047,263.3419811,161.5284754,203.1274305,482.5398513,370.7897035,490.2290355,167.8504693,287.6192165,219.0872732,337.5763653,404.0489832,459.3145266,443.9268643,398.388631
27,3,2,1,193.0909389,188.7375345,263.9214439,425.9256772,367.859419,191.3572692,263.3930306,159.7946803,202.4703218,485.5917194,375.2569606,494.9337657,171.3208514,287.0184492,222.7892756,338.1137922,407.3282257,454.8614053,436.8539817,399.7458753
28,4,2,1,191.3600898,180.4479472,263.0963561,420.3085798,364.3559296,191.2303741,268.6041254,156.4390324,202.4715803,490.8300722,373.229844,503.6542949,169.5751864,275.4057702,218.9059672,319.5921645,392.8948752,446.5166051,415.5725341,404.0936416
29,5,2,1,188.9620866,170.1146132,270.1761422,403.3536683,362.2812545,185.9343874,267.5821549,157.6762714,199.1888274,519.6887159,366.4457312,504.7862001,160.9418189,271.3497313,219.2387208,311.5033183,386.5261354,428.9889316,390.8268516,387.2147682
30,6,2,1,184.979708,159.4285293,272.7988568,381.0215057,355.6490204,183.7257672,267.4702959,156.1800678,195.553484,533.6848571,363.6362522,500.0390331,168.5955665,269.7338772,218.6363365,306.7877816,372.5490162,424.0809918,380.6826697,379.9044459
31,7,2,1,175.018528,118.7418574,245.5987572,325.0391156,287.9954768,176.306035,242.4010353,138.940746,182.8349176,483.9214502,351.9414667,481.0592089,161.0300124,245.0543049,201.5739282,256.7238712,297.6031344,410.4585101,342.6295674,352.7183683
32,8,2,1,156.8181279,73.03624821,199.4108424,236.2939161,232.3174217,138.038676,203.6385771,117.0396073,152.0052026,379.0969798,318.0293835,377.7202026,134.4131799,197.1516587,164.02935,219.0104661,252.5908681,314.5077057,288.8742129,287.0439102
33,9,2,1,156.9546852,71.80879154,178.7504989,205.4775013,224.2960347,118.9543522,202.8590489,118.2340798,146.5330713,325.9396071,308.7640459,317.8352331,127.3120558,190.3479701,145.9585564,194.1292381,240.999004,249.8691566,268.8476013,243.5131476
34,10,2,1,156.7575604,72.37792247,186.4965,190.143676,221.0960163,119.4825705,201.7575065,120.32247,142.9201615,310.4027076,306.515358,301.3595806,121.890557,180.9383276,147.8904445,189.1125808,233.0857451,226.2553124,270.7140397,238.328606
35,11,2,1,157.5174721,71.42213968,180.0172725,198.639272,219.2565418,115.4796785,205.4082878,123.0249789,142.6186052,301.9784322,310.384948,294.4778026,128.103148,181.1293411,147.1836984,190.2098822,232.4944614,230.0954073,265.2591941,231.1489024
36,12,2,1,156.7773154,72.54499746,179.0934575,202.0031647,214.7462456,113.8576075,204.2009775,121.6266884,144.420403,298.6643256,308.4703823,291.6563412,131.285193,183.0213806,141.3543666,187.3675033,234.1069179,240.7093339,260.6981311,240.9566235
37,13,2,1,156.8845283,70.00864529,171.0493907,200.9275374,215.2921166,115.0664733,199.3554523,115.5758276,143.0085487,302.1902313,309.0840413,291.8115144,134.4994472,172.3262022,139.4062898,188.3270609,229.1613307,234.9571199,263.8918688,237.527269
38,14,2,1,153.0318512,74.88925897,174.8295568,206.5432542,221.9121393,108.7670177,203.7677555,119.651906,149.4518442,309.3971546,307.123055,298.4211445,127.9695138,167.6923341,145.0628601,189.5266269,229.5109288,241.1914062,267.752286,247.9349829
39,15,2,1,164.6566716,97.66498209,179.4524028,223.1118456,277.6905688,126.1632608,245.3286835,138.4801839,173.2716336,327.3092801,311.0999947,307.7295648,144.1534297,195.6517673,151.0627853,199.1182789,283.694607,249.8551548,275.4339266,245.934922
40,16,2,1,180.5388389,157.7553938,216.7327932,274.5664178,345.2478785,175.7835642,266.3726814,162.3614016,197.9452689,450.8928469,330.5192752,397.7735329,156.9659771,239.1183149,179.5242681,246.417867,347.8109866,285.6118322,315.5861745,309.2793319
41,17,2,1,183.0702719,152.2794408,261.5245564,355.7429318,348.1436059,182.57576,264.3420251,159.5271718,207.3747335,522.1076218,352.0559958,473.8525451,159.2619252,264.2606283,219.0704665,287.6991474,361.3202653,380.2234667,367.4550536,356.1666645
42,18,2,1,183.4755101,149.9158294,261.2515572,357.762086,345.6145292,179.9455655,265.4094412,161.918671,206.8029424,528.9600271,350.8339813,480.5931686,155.4661292,271.4655836,214.6304728,292.8591757,363.9334752,413.766624,369.5416437,358.9293558
43,19,2,1,183.1061846,150.7630648,266.3514188,359.3729507,350.3579032,183.3704974,265.986004,159.4848713,204.3034855,529.1682146,348.2557212,480.1315072,163.0637493,266.2383601,213.8150599,296.2186787,367.6790652,412.3208267,374.4626986,360.9461342
44,20,2,1,182.4813922,152.6949068,262.5945191,355.8092532,352.5064661,184.5048482,266.1992876,159.1817671,204.1429569,527.3545055,351.2654861,481.5129232,166.3807293,274.5999528,211.0140036,301.1752877,377.0340265,414.1554576,380.1193173,360.7348505
45,21,2,1,182.5621825,155.4914058,261.4131509,360.1124085,364.3584815,184.1221245,266.5459937,158.6479953,206.2614668,515.3029,350.238139,489.3166615,167.0267033,271.1869686,209.7859703,316.3561621,385.8218022,416.1597384,406.9431592,368.3215822
46,22,2,1,183.0319168,162.470462,252.7622271,371.9146052,362.3063377,185.5975156,271.8086626,154.6506649,209.1820809,509.4785572,366.4602426,499.4125165,175.3338068,273.3520556,208.5249765,325.1466787,384.9690094,433.4075106,430.8918729,390.7932748
47,23,2,1,185.0485002,173.4170007,252.4299613,405.1811628,367.0927018,195.1121929,268.9989074,155.8386428,207.9995077,491.7672623,381.2268531,495.1290489,167.599442,282.3438358,209.5005652,334.7614357,399.4524548,458.1198629,442.770438,397.1985528
48,0,3,1,186.8467274,179.819602,259.0926627,431.7449216,363.704206,193.0396444,264.2772663,157.7679752,206.1410561,487.7082378,380.4255117,495.1928822,167.160746,277.2709827,215.5298194,342.1552044,395.7832963,453.6405815,446.3628783,407.2602282
49,1,3,1,190.4192823,190.8793753,260.2501464,428.880321,360.9212482,186.3486529,264.3902097,158.2098326,204.8469998,483.4963578,370.4763381,493.2125061,170.5693608,283.1905513,212.0343787,339.8144873,396.9361512,453.4554507,449.559902,399.7157155
50,2,3,1,191.2750226,193.7505885,259.5711203,429.8218382,366.3057828,192.2003047,263.3419811,161.5284754,203.1274305,482.5398513,370.7897035,490.2290355,167.8504693,287.6192165,219.0872732,337.5763653,404.0489832,459.3145266,443.9268643,398.388631
51,3,3,1,193.0909389,188.7375345,263.9214439,425.9256772,367.859419,191.3572692,263.3930306,159.7946803,202.4703218,485.5917194,375.2569606,494.9337657,171.3208514,287.0184492,222.7892756,338.1137922,407.3282257,454.8614053,436.8539817,399.7458753
52,4,3,1,191.3600898,180.4479472,263.0963561,420.3085798,364.3559296,191.2303741,268.6041254,156.4390324,202.4715803,490.8300722,373.229844,503.6542949,169.5751864,275.4057702,218.9059672,319.5921645,392.8948752,446.5166051,415.5725341,404.0936416
53,5,3,1,188.9620866,170.1146132,270.1761422,403.3536683,362.2812545,185.9343874,267.5821549,157.6762714,199.1888274,519.6887159,366.4457312,504.7862001,160.9418189,271.3497313,219.2387208,311.5033183,386.5261354,428.9889316,390.8268516,387.2147682
54,6,3,1,184.979708,159.4285293,272.7988568,381.0215057,355.6490204,183.7257672,267.4702959,156.1800678,195.553484,533.6848571,363.6362522,500.0390331,168.5955665,269.7338772,218.6363365,306.7877816,372.5490162,424.0809918,380.6826697,379.9044459
55,7,3,1,175.018528,118.7418574,245.5987572,325.0391156,287.9954768,176.306035,242.4010353,138.940746,182.8349176,483.9214502,351.9414667,481.0592089,161.0300124,245.0543049,201.5739282,256.7238712,297.6031344,410.4585101,342.6295674,352.7183683
56,8,3,1,156.8181279,73.03624821,199.4108424,236.2939161,232.3174217,138.038676,203.6385771,117.0396073,152.0052026,379.0969798,318.0293835,377.7202026,134.4131799,197.1516587,164.02935,219.0104661,252.5908681,314.5077057,288.8742129,287.0439102
57,9,3,1,156.9546852,71.80879154,178.7504989,205.4775013,224.2960347,118.9543522,202.8590489,118.2340798,146.5330713,325.9396071,308.7640459,317.8352331,127.3120558,190.3479701,145.9585564,194.1292381,240.999004,249.8691566,268.8476013,243.5131476
58,10,3,1,156.7575604,72.37792247,186.4965,190.143676,221.0960163,119.4825705,201.7575065,120.32247,142.9201615,310.4027076,306.515358,301.3595806,121.890557,180.9383276,147.8904445,189.1125808,233.0857451,226.2553124,270.7140397,238.328606
59,11,3,1,157.5174721,71.42213968,180.0172725,198.639272,219.2565418,115.4796785,205.4082878,123.0249789,142.6186052,301.9784322,310.384948,294.4778026,128.103148,181.1293411,147.1836984,190.2098822,232.4944614,230.0954073,265.2591941,231.1489024
60,12,3,1,156.7773154,72.54499746,179.0934575,202.0031647,214.7462456,113.8576075,204.2009775,121.6266884,144.420403,298.6643256,308.4703823,291.6563412,131.285193,183.0213806,141.3543666,187.3675033,234.1069179,240.7093339,260.6981311,240.9566235
61,13,3,1,156.8845283,70.00864529,171.0493907,200.9275374,215.2921166,115.0664733,199.3554523,115.5758276,143.0085487,302.1902313,309.0840413,291.8115144,134.4994472,172.3262022,139.4062898,188.3270609,229.1613307,234.9571199,263.8918688,237.527269
62,14,3,1,153.0318512,74.88925897,174.8295568,206.5432542,221.9121393,108.7670177,203.7677555,119.651906,149.4518442,309.3971546,307.123055,298.4211445,127.9695138,167.6923341,145.0628601,189.5266269,229.5109288,241.1914062,267.752286,247.9349829
63,15,3,1,164.6566716,97.66498209,179.4524028,223.1118456,277.6905688,126.1632608,245.3286835,138.4801839,173.2716336,327.3092801,311.0999947,307.7295648,144.1534297,195.6517673,151.0627853,199.1182789,283.694607,249.8551548,275.4339266,245.934922
64,16,3,1,180.5388389,157.7553938,216.7327932,274.5664178,345.2478785,175.7835642,266.3726814,162.3614016,197.9452689,450.8928469,330.5192752,397.7735329,156.9659771,239.1183149,179.5242681,246.417867,347.8109866,285.6118322,315.5861745,309.2793319
65,17,3,1,183.0702719,152.2794408,261.5245564,355.7429318,348.1436059,182.57576,264.3420251,159.5271718,207.3747335,522.1076218,352.0559958,473.8525451,159.2619252,264.2606283,219.0704665,287.6991474,361.3202653,380.2234667,367.4550536,356.1666645
66,18,3,1,183.4755101,149.9158294,261.2515572,357.762086,345.6145292,179.9455655,265.4094412,161.918671,206.8029424,528.9600271,350.8339813,480.5931686,155.4661292,271.4655836,214.6304728,292.8591757,363.9334752,413.766624,369.5416437,358.9293558
67,19,3,1,183.1061846,150.7630648,266.3514188,359.3729507,350.3579032,183.3704974,265.986004,159.4848713,204.3034855,529.1682146,348.2557212,480.1315072,163.0637493,266.2383601,213.8150599,296.2186787,367.6790652,412.3208267,374.4626986,360.9461342
68,20,3,1,182.4813922,152.6949068,262.5945191,355.8092532,352.5064661,184.5048482,266.1992876,159.1817671,204.1429569,527.3545055,351.2654861,481.5129232,166.3807293,274.5999528,211.0140036,301.1752877,377.0340265,414.1554576,380.1193173,360.7348505
69,21,3,1,182.5621825,155.4914058,261.4131509,360.1124085,364.3584815,184.1221245,266.5459937,158.6479953,206.2614668,515.3029,350.238139,489.3166615,167.0267033,271.1869686,209.7859703,316.3561621,385.8218022,416.1597384,406.9431592,368.3215822
70,22,3,1,183.0319168,162.470462,252.7622271,371.9146052,362.3063377,185.5975156,271.8086626,154.6506649,209.1820809,509.4785572,366.4602426,499.4125165,175.3338068,273.3520556,208.5249765,325.1466787,384.9690094,433.4075106,430.8918729,390.7932748
71,23,3,1,185.0485002,173.4170007,252.4299613,405.1811628,367.0927018,195.1121929,268.9989074,155.8386428,207.9995077,491.7672623,381.2268531,495.1290489,167.599442,282.3438358,209.5005652,334.7614357,399.4524548,458.1198629,442.770438,397.1985528
72,0,4,1,186.8467274,179.819602,259.0926627,431.7449216,363.704206,193.0396444,264.2772663,157.7679752,206.1410561,487.7082378,380.4255117,495.1928822,167.160746,277.2709827,215.5298194,342.1552044,395.7832963,453.6405815,446.3628783,407.2602282
73,1,4,1,190.4192823,190.8793753,260.2501464,428.880321,360.9212482,186.3486529,264.3902097,158.2098326,204.8469998,483.4963578,370.4763381,493.2125061,170.5693608,283.1905513,212.0343787,339.8144873,396.9361512,453.4554507,449.559902,399.7157155
74,2,4,1,191.2750226,193.7505885,259.5711203,429.8218382,366.3057828,192.2003047,263.3419811,161.5284754,203.1274305,482.5398513,370.7897035,490.2290355,167.8504693,287.6192165,219.0872732,337.5763653,404.0489832,459.3145266,443.9268643,398.388631
75,3,4,1,193.0909389,188.7375345,263.9214439,425.9256772,367.859419,191.3572692,263.3930306,159.7946803,202.4703218,485.5917194,375.2569606,494.9337657,171.3208514,287.0184492,222.7892756,338.1137922,407.3282257,454.8614053,436.8539817,399.7458753
76,4,4,1,191.3600898,180.4479472,263.0963561,420.3085798,364.3559296,191.2303741,268.6041254,156.4390324,202.4715803,490.8300722,373.229844,503.6542949,169.5751864,275.4057702,218.9059672,319.5921645,392.8948752,446.5166051,415.5725341,404.0936416
77,5,4,1,188.9620866,170.1146132,270.1761422,403.3536683,362.2812545,185.9343874,267.5821549,157.6762714,199.1888274,519.6887159,366.4457312,504.7862001,160.9418189,271.3497313,219.2387208,311.5033183,386.5261354,428.9889316,390.8268516,387.2147682
78,6,4,1,184.979708,159.4285293,272.7988568,381.0215057,355.6490204,183.7257672,267.4702959,156.1800678,195.553484,533.6848571,363.6362522,500.0390331,168.5955665,269.7338772,218.6363365,306.7877816,372.5490162,424.0809918,380.6826697,379.9044459
79,7,4,1,175.018528,118.7418574,245.5987572,325.0391156,287.9954768,176.306035,242.4010353,138.940746,182.8349176,483.9214502,351.9414667,481.0592089,161.0300124,245.0543049,201.5739282,256.7238712,297.6031344,410.4585101,342.6295674,352.7183683
80,8,4,1,156.8181279,73.03624821,199.4108424,236.2939161,232.3174217,138.038676,203.6385771,117.0396073,152.0052026,379.0969798,318.0293835,377.7202026,134.4131799,197.1516587,164.02935,219.0104661,252.5908681,314.5077057,288.8742129,287.0439102
81,9,4,1,156.9546852,71.80879154,178.7504989,205.4775013,224.2960347,118.9543522,202.8590489,118.2340798,146.5330713,325.9396071,308.7640459,317.8352331,127.3120558,190.3479701,145.9585564,194.1292381,240.999004,249.8691566,268.8476013,243.5131476
82,10,4,1,156.7575604,72.37792247,186.4965,190.143676,221.0960163,119.4825705,201.7575065,120.32247,142.9201615,310.4027076,306.515358,301.3595806,121.890557,180.9383276,147.8904445,189.1125808,233.0857451,226.2553124,270.7140397,238.328606
83,11,4,1,157.5174721,71.42213968,180.0172725,198.639272,219.2565418,115.4796785,205.4082878,123.0249789,142.6186052,301.9784322,310.384948,294.4778026,128.103148,181.1293411,147.1836984,190.2098822,232.4944614,230.0954073,265.2591941,231.1489024
84,12,4,1,156.7773154,72.54499746,179.0934575,202.0031647,214.7462456,113.8576075,204.2009775,121.6266884,144.420403,298.6643256,308.4703823,291.6563412,131.285193,183.0213806,141.3543666,187.3675033,234.1069179,240.7093339,260.6981311,240.9566235
85,13,4,1,156.8845283,70.00864529,171.0493907,200.9275374,215.2921166,115.0664733,199.3554523,115.5758276,143.0085487,302.1902313,309.0840413,291.8115144,134.4994472,172.3262022,139.4062898,188.3270609,229.1613307,234.9571199,263.8918688,237.527269
86,14,4,1,153.0318512,74.88925897,174.8295568,206.5432542,221.9121393,108.7670177,203.7677555,119.651906,149.4518442,309.3971546,307.123055,298.4211445,127.9695138,167.6923341,145.0628601,189.5266269,229.5109288,241.1914062,267.752286,247.9349829
87,15,4,1,164.6566716,97.66498209,179.4524028,223.1118456,277.6905688,126.1632608,245.3286835,138.4801839,173.2716336,327.3092801,311.0999947,307.7295648,144.1534297,195.6517673,151.0627853,199.1182789,283.694607,249.8551548,275.4339266,245.934922
88,16,4,1,180.5388389,157.7553938,216.7327932,274.5664178,345.2478785,175.7835642,266.3726814,162.3614016,197.9452689,450.8928469,330.5192752,397.7735329,156.9659771,239.1183149,179.5242681,246.417867,347.8109866,285.6118322,315.5861745,309.2793319
89,17,4,1,183.0702719,152.2794408,261.5245564,355.7429318,348.1436059,182.57576,264.3420251,159.5271718,207.3747335,522.1076218,352.0559958,473.8525451,159.2619252,264.2606283,219.0704665,287.6991474,361.3202653,380.2234667,367.4550536,356.1666645
90,18,4,1,183.4755101,149.9158294,261.2515572,357.762086,345.6145292,179.9455655,265.4094412,161.918671,206.8029424,528.9600271,350.8339813,480.5931686,155.4661292,271.4655836,214.6304728,292.8591757,363.9334752,413.766624,369.5416437,358.9293558
91,19,4,1,183.1061846,150.7630648,266.3514188,359.3729507,350.3579032,183.3704974,265.986004,159.4848713,204.3034855,529.1682146,348.2557212,480.1315072,163.0637493,266.2383601,213.8150599,296.2186787,367.6790652,412.3208267,374.4626986,360.9461342
92,20,4,1,182.4813922,152.6949068,262.5945191,355.8092532,352.5064661,184.5048482,266.1992876,159.1817671,204.1429569,527.3545055,351.2654861,481.5129232,166.3807293,274.5999528,211.0140036,301.1752877,377.0340265,414.1554576,380.1193173,360.7348505
93,21,4,1,182.5621825,155.4914058,261.4131509,360.1124085,364.3584815,184.1221245,266.5459937,158.6479953,206.2614668,515.3029,350.238139,489.3166615,167.0267033,271.1869686,209.7859703,316.3561621,385.8218022,416.1597384,406.9431592,368.3215822
94,22,4,1,183.0319168,162.470462,252.7622271,371.9146052,362.3063377,185.5975156,271.8086626,154.6506649,209.1820809,509.4785572,366.4602426,499.4125165,175.3338068,273.3520556,208.5249765,325.1466787,384.9690094,433.4075106,430.8918729,390.7932748
95,23,4,1,185.0485002,173.4170007,252.4299613,405.1811628,367.0927018,195.1121929,268.9989074,155.8386428,207.9995077,491.7672623,381.2268531,495.1290489,167.599442,282.3438358,209.5005652,334.7614357,399.4524548,458.1198629,442.770438,397.1985528
96,0,5,1,186.8467274,179.819602,259.0926627,431.7449216,363.704206,193.0396444,264.2772663,157.7679752,206.1410561,487.7082378,380.4255117,495.1928822,167.160746,277.2709827,215.5298194,342.1552044,395.7832963,453.6405815,446.3628783,407.2602282
97,1,5,1,190.4192823,190.8793753,260.2501464,428.880321,360.9212482,186.3486529,264.3902097,158.2098326,204.8469998,483.4963578,370.4763381,493.2125061,170.5693608,283.1905513,212.0343787,339.8144873,396.9361512,453.4554507,449.559902,399.7157155
98,2,5,1,191.2750226,193.7505885,259.5711203,429.8218382,366.3057828,192.2003047,263.3419811,161.5284754,203.1274305,482.5398513,370.7897035,490.2290355,167.8504693,287.6192165,219.0872732,337.5763653,404.0489832,459.3145266,443.9268643,398.388631
99,3,5,1,193.0909389,188.7375345,263.9214439,425.9256772,367.859419,191.3572692,263.3930306,159.7946803,202.4703218,485.5917194,375.2569606,494.9337657,171.3208514,287.0184492,222.7892756,338.1137922,407.3282257,454.8614053,436.8539817,399.7458753
100,4,5,1,191.3600898,180.4479472,263.0963561,420.3085798,364.3559296,191.2303741,268.6041254,156.4390324,202.4715803,490.8300722,373.229844,503.6542949,169.5751864,275.4057702,218.9059672,319.5921645,392.8948752,446.5166051,415.5725341,404.0936416
101,5,5,1,188.9620866,170.1146132,270.1761422,403.3536683,362.2812545,185.9343874,267.5821549,157.6762714,199.1888274,519.6887159,366.4457312,504.7862001,160.9418189,271.3497313,219.2387208,311.5033183,386.5261354,428.9889316,390.8268516,387.2147682
102,6,5,1,184.979708,159.4285293,272.7988568,381.0215057,355.6490204,183.7257672,267.4702959,156.1800678,195.553484,533.6848571,363.6362522,500.0390331,168.5955665,269.7338772,218.6363365,306.7877816,372.5490162,424.0809918,380.6826697,379.9044459
103,7,5,1,175.018528,118.7418574,245.5987572,325.0391156,287.9954768,176.306035,242.4010353,138.940746,182.8349176,483.9214502,351.9414667,481.0592089,161.0300124,245.0543049,201.5739282,256.7238712,297.6031344,410.4585101,342.6295674,352.7183683
104,8,5,1,156.8181279,73.03624821,199.4108424,236.2939161,232.3174217,138.038676,203.6385771,117.0396073,152.0052026,379.0969798,318.0293835,377.7202026,134.4131799,197.1516587,164.02935,219.0104661,252.5908681,314.5077057,288.8742129,287.0439102
105,9,5,1,156.9546852,71.80879154,178.7504989,205.4775013,224.2960347,118.9543522,202.8590489,118.2340798,146.5330713,325.9396071,308.7640459,317.8352331,127.3120558,190.3479701,145.9585564,194.1292381,240.999004,249.8691566,268.8476013,243.5131476
106,10,5,1,156.7575604,72.37792247,186.4965,190.143676,221.0960163,119.4825705,201.7575065,120.32247,142.9201615,310.4027076,306.515358,301.3595806,121.890557,180.9383276,147.8904445,189.1125808,233.0857451,226.2553124,270.7140397,238.328606
107,11,5,1,157.5174721,71.42213968,180.0172725,198.639272,219.2565418,115.4796785,205.4082878,123.0249789,142.6186052,301.9784322,310.384948,294.4778026,128.103148,181.1293411,147.1836984,190.2098822,232.4944614,230.0954073,265.2591941,231.1489024
