Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=HVAC Heating Type	Dependency=Vintage	Option=Cooling Only	Option=Heating Only	Option=Heating and Cooling	Option=None
Mobile Home	Central AC	Ducted Heat Pump	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Heat Pump	Ducted Heat Pump	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	None	Ducted Heat Pump	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Room AC	Ducted Heat Pump	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Central AC	Ducted Heating	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Heat Pump	Ducted Heating	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	None	Ducted Heating	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Room AC	Ducted Heating	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Central AC	Non-Ducted Heat Pump	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Heat Pump	Non-Ducted Heat Pump	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	None	Non-Ducted Heat Pump	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Room AC	Non-Ducted Heat Pump	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Central AC	Non-Ducted Heating	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Heat Pump	Non-Ducted Heating	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	None	Non-Ducted Heating	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Room AC	Non-Ducted Heating	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Central AC	None	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Heat Pump	None	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	None	None	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Room AC	None	1940s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Central AC	Ducted Heat Pump	1950s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Heat Pump	Ducted Heat Pump	1950s	0.000000	0.000000	0.000000	1.000000
Mobile Home	None	Ducted Heat Pump	1950s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Room AC	Ducted Heat Pump	1950s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Central AC	Ducted Heating	1950s	0.000000	0.000000	0.000000	1.000000
Mobile Home	Heat Pump	Ducted Heating	1950s	0.000000	0.000000	0.000000	1.000000
