Dependency=Location Region	Dependency=Vintage	Dependency=Geometry House Size	Dependency=Geometry Stories	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50
CR12	1970s	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR06	1950s	1500-2499	2+	0	0	0	0	0	0	0	1	0	0
CR06	<1950	1500-2499	2+	0	0	0	0	0	0	0	1	0	0
CR07	1950s	1500-2499	2+	0	0	0	0	0	0	0	1	0	0
CR07	<1950	1500-2499	2+	0	0	0	0	0	0	0	1	0	0
CR08	1950s	1500-2499	2+	0	0	0	0	0	0	0	1	0	0
CR08	<1950	1500-2499	2+	0	0	0	0	0	0	0	1	0	0
CR03	1950s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR03	<1950	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR04	1950s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR04	<1950	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR05	1950s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR05	<1950	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR09	1950s	2500-3499	1	0	0	0	0	0	0	0	1	0	0
CR09	<1950	2500-3499	1	0	0	0	0	0	0	0	1	0	0
CR10	1950s	2500-3499	1	0	0	0	0	0	0	0	1	0	0
CR10	<1950	2500-3499	1	0	0	0	0	0	0	0	1	0	0
CR12	1950s	2500-3499	1	0	0	0	0	0	0	0	1	0	0
CR12	<1950	2500-3499	1	0	0	0	0	0	0	0	1	0	0
CR09	1960s	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR10	1960s	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR12	1960s	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR06	1970s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR07	1970s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR08	1970s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR06	1960s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR07	1960s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR08	1960s	0-1499	1	0	0	0	0	0	0	0	1	0	0
CR06	1950s	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR06	<1950	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR07	1950s	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR07	<1950	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR08	1950s	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR08	<1950	1500-2499	1	0	0	0	0	0	0	0	1	0	0
CR06	1980s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR07	1980s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR08	1980s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR03	1960s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR04	1960s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR05	1960s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR06	2000s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR07	2000s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR08	2000s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR09	1970s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR10	1970s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR12	1970s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR11	1990s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR03	1980s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR04	1980s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR05	1980s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR09	1960s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR10	1960s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR12	1960s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR02	1980s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR03	1970s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR04	1970s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR05	1970s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR01	1980s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR11	1950s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR11	<1950	3500+	1	0	0	0	0	0	0	1	0	0	0
CR06	1980s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR07	1980s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR08	1980s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR03	1960s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR04	1960s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR05	1960s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR09	1970s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR10	1970s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR12	1970s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR02	1970s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR06	1950s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR06	<1950	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR07	1950s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR07	<1950	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR08	1950s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR08	<1950	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR09	1990s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR10	1990s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR12	1990s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR11	1990s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR02	1950s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR02	<1950	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR01	1970s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR09	1960s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR10	1960s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR12	1960s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR02	1960s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR02	1980s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR01	1950s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR01	<1950	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR01	1960s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR01	1980s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR06	1990s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR07	1990s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR08	1990s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR09	2000s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR10	2000s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR12	2000s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR11	1980s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR02	1970s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR06	1950s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR06	<1950	3500+	1	0	0	0	0	0	0	1	0	0	0
CR07	1950s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR07	<1950	3500+	1	0	0	0	0	0	0	1	0	0	0
CR08	1950s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR08	<1950	3500+	1	0	0	0	0	0	0	1	0	0	0
CR09	1990s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR10	1990s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR12	1990s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR11	1970s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR02	1950s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR02	<1950	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR01	1970s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR02	1960s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR01	1950s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR01	<1950	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR03	1980s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR04	1980s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR05	1980s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR09	1980s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR10	1980s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR12	1980s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR11	1960s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR01	1960s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR06	1990s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR07	1990s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR08	1990s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR09	2000s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR10	2000s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR12	2000s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR11	1980s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR03	1970s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR04	1970s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR05	1970s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR11	1970s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR03	1950s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR03	<1950	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR04	1950s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR04	<1950	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR05	1950s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR05	<1950	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR06	1980s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR07	1980s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR08	1980s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR03	1960s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR04	1960s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR05	1960s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR03	1980s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR04	1980s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR05	1980s	0-1499	1	0	0	0	0	0	0	1	0	0	0
CR09	1980s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR10	1980s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR12	1980s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR11	1960s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR06	1970s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR07	1970s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR08	1970s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR09	1950s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR09	<1950	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR10	1950s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR10	<1950	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR12	1950s	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR12	<1950	3500+	2+	0	0	0	0	0	0	1	0	0	0
CR06	1960s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR07	1960s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR08	1960s	2500-3499	2+	0	0	0	0	0	0	1	0	0	0
CR03	1970s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR04	1970s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR05	1970s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR02	1970s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR03	1950s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR03	<1950	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR04	1950s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR04	<1950	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR05	1950s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR05	<1950	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR06	1980s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR07	1980s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR08	1980s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR09	1990s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR10	1990s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR12	1990s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR01	1970s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR03	1960s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR04	1960s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR05	1960s	1500-2499	1	0	0	0	0	0	0	1	0	0	0
CR06	1970s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR07	1970s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR08	1970s	2500-3499	1	0	0	0	0	0	0	1	0	0	0
CR02	1960s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR09	1950s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR09	<1950	3500+	1	0	0	0	0	0	0	1	0	0	0
CR10	1950s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR10	<1950	3500+	1	0	0	0	0	0	0	1	0	0	0
CR12	1950s	3500+	1	0	0	0	0	0	0	1	0	0	0
CR12	<1950	3500+	1	0	0	0	0	0	0	1	0	0	0
CR01	1960s	0-1499	2+	0	0	0	0	0	0	1	0	0	0
CR02	1950s	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
CR02	<1950	1500-2499	2+	0	0	0	0	0	0	1	0	0	0
