Dependency=Vintage	Option=1940-59	Option=1960-79	Option=1980-99	Option=2000-09	Option=2010s	Option=<1940	source_count	source_weight	sampling_probability
1940s	1	0	0	0	0	0	353738	6.71355e+06	0.0495513
1950s	1	0	0	0	0	0	735510	1.40936e+07	0.104051
1960s	0	1	0	0	0	0	735490	1.44631e+07	0.106542
1970s	0	1	0	0	0	0	1.04101e+06	2.06793e+07	0.151825
1980s	0	0	1	0	0	0	905121	1.83081e+07	0.133982
1990s	0	0	1	0	0	0	931326	1.8921e+07	0.1379
2000s	0	0	0	1	0	0	884342	1.89654e+07	0.137386
2010s	0	0	0	0	1	0	305430	7.06405e+06	0.0507666
<1940	0	0	0	0	0	1	926440	1.73613e+07	0.127996
# Created by: \sources\pums\2019_5yrs\tsv_maker.py
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
