Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None
CR04	1960s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR06	1960s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR08	1960s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR09	1960s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR10	1960s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR11	1960s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR02	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR05	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR04	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR06	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR08	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR09	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR10	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR11	1970s	Heated Basement	1.000000	0.000000	0.000000	0.000000	0.000000
CR02	1980s	Heated Basement	0.300000	0.340000	0.360000	0.000000	0.000000
CR05	1980s	Heated Basement	0.330000	0.230000	0.440000	0.000000	0.000000
CR03	1980s	Heated Basement	0.310000	0.340000	0.350000	0.000000	0.000000
CR04	1980s	Heated Basement	0.370000	0.260000	0.370000	0.000000	0.000000
CR06	1980s	Heated Basement	0.400000	0.040000	0.560000	0.000000	0.000000
CR07	1980s	Heated Basement	0.380000	0.330000	0.290000	0.000000	0.000000
CR08	1980s	Heated Basement	0.110000	0.150000	0.740000	0.000000	0.000000
CR09	1980s	Heated Basement	0.330000	0.350000	0.320000	0.000000	0.000000
CR10	1980s	Heated Basement	0.910000	0.000000	0.090000	0.000000	0.000000
CR11	1980s	Heated Basement	0.400000	0.040000	0.560000	0.000000	0.000000
CR02	1990s	Heated Basement	0.060000	0.260000	0.450000	0.230000	0.000000
CR05	1990s	Heated Basement	0.020000	0.090000	0.780000	0.110000	0.000000
CR03	1990s	Heated Basement	0.100000	0.340000	0.430000	0.120000	0.000000
CR04	1990s	Heated Basement	0.120000	0.370000	0.440000	0.070000	0.000000
CR06	1990s	Heated Basement	0.020000	0.340000	0.280000	0.360000	0.000000
CR07	1990s	Heated Basement	0.080000	0.460000	0.460000	0.000000	0.000000
CR08	1990s	Heated Basement	0.070000	0.060000	0.690000	0.190000	0.000000
CR09	1990s	Heated Basement	0.550000	0.040000	0.220000	0.190000	0.000000
CR10	1990s	Heated Basement	0.300000	0.000000	0.700000	0.000000	0.000000
CR11	1990s	Heated Basement	0.670000	0.170000	0.070000	0.090000	0.000000
CR02	2000s	Heated Basement	0.010000	0.300000	0.510000	0.180000	0.000000
CR05	2000s	Heated Basement	0.020000	0.050000	0.580000	0.360000	0.000000
CR03	2000s	Heated Basement	0.060000	0.150000	0.560000	0.220000	0.000000
CR04	2000s	Heated Basement	0.130000	0.240000	0.530000	0.100000	0.000000
CR06	2000s	Heated Basement	0.030000	0.040000	0.070000	0.870000	0.000000
CR07	2000s	Heated Basement	0.050000	0.080000	0.790000	0.090000	0.000000
CR08	2000s	Heated Basement	0.090000	0.230000	0.510000	0.170000	0.000000
CR09	2000s	Heated Basement	0.450000	0.090000	0.210000	0.250000	0.000000
CR10	2000s	Heated Basement	0.000000	0.510000	0.000000	0.490000	0.000000
CR11	2000s	Heated Basement	0.240000	0.000000	0.400000	0.360000	0.000000
CR02	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1950	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1960s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Crawl	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1950	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1960s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Slab	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1950	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1960s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Unheated Basement	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	<1950	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1950s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1960s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1970s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1980s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	1990s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2000s	Pier and Beam	0.000000	0.000000	0.000000	0.000000	1.000000
