Dependency=Census Division	Option=Midwest	Option=Northeast	Option=South	Option=West	sample_count	sample_weight
East North Central	1.000000	0.000000	0.000000	0.000000	11808.000000	20482456.000000
East South Central	0.000000	0.000000	1.000000	0.000000	4457.000000	8329145.000000
Middle Atlantic	0.000000	1.000000	0.000000	0.000000	10147.000000	17345056.000000
Mountain	0.000000	0.000000	0.000000	1.000000	5250.000000	9767382.000000
New England	0.000000	1.000000	0.000000	0.000000	3392.000000	6467781.000000
Pacific	0.000000	0.000000	0.000000	1.000000	10349.000000	18583046.000000
South Atlantic	0.000000	0.000000	1.000000	0.000000	13705.000000	27428786.000000
West North Central	1.000000	0.000000	0.000000	0.000000	5285.000000	9274209.000000
West South Central	0.000000	0.000000	1.000000	0.000000	8145.000000	15494196.000000
# Created by: sources\spatial\tsv_maker.py
# Source: Spatial definitions are from U.S. Census 2010.
