Minute,Fraction
463,0.200875
1180,0.425617
1181,0.425617
3287,0.265911
5010,0.255569
5146,0.317621
5151,0.240851
5156,0.394988
5157,0.394988
5161,0.02685
7719,0.493238
7720,0.493238
9494,0.561058
9723,0.429594
12055,0.74105
12060,0.048727
12064,0.588902
12069,0.537192
12129,0.295545
12134,0.021679
12139,0.157319
12144,0.455847
12595,0.5179
12669,0.241249
12670,0.241249
13517,0.575378
13591,0.84646
13884,0.656325
13938,0.896977
19397,0.38743
19471,0.686158
19545,0.029037
19620,0.127287
21316,0.564837
21390,0.681981
21464,0.351233
21465,0.351233
21538,0.10183
24199,0.548528
24204,0.121519
24209,0.310461
24214,0.340891
27768,0.131663
29333,0.504375
30722,0.716786
32236,0.432975
32310,0.591885
32320,0.395386
32384,0.634049
32395,0.448886
32458,0.466587
32469,0.402347
33675,0.423827
33749,0.403341
33844,0.582538
35173,0.392999
35247,0.533214
35393,0.281026
37273,0.044352
38739,0.469769
38744,0.613962
38749,0.51611
38813,0.522673
38818,0.43039
38823,0.195505
38887,0.130469
38892,0.767701
38897,0.286993
40011,0.502586
40012,0.502586
42434,0.245625
42787,0.249602
42792,0.012729
42862,0.274662
42867,0.194511
43451,0.26253
43526,0.560263
45665,0.402546
46992,0.218775
46993,0.218775
48024,0.640613
48029,0.398568
48034,0.518298
48098,0.085123
48103,0.501591
48108,0.445306
48264,0.617343
49833,0.269491
49838,0.316826
51262,0.505768
51337,0.022076
52489,0.369332
55320,0.518695
55325,0.470764
55326,0.470764
55330,0.042164
55335,0.466587
55509,0.083731
55583,0.057876
56535,0.203858
58750,0.046738
59228,0.355211
59229,0.355211
59303,0.410103
59304,0.410103
59377,0.550716
59451,0.495823
62734,0.295147
64207,0.405131
65598,0.64638
65603,0.277844
65608,0.210024
65613,0.118337
65618,0.364956
68884,0.719769
69557,0.599244
69562,0.439539
69567,0.452068
69572,0.152347
69715,0.295545
70085,0.132657
70684,0.174423
70969,0.137629
70974,0.499403
70979,0.055887
70983,0.556285
71174,0.521877
75979,0.359785
76994,0.329952
76999,0.424821
77020,0.349045
77050,0.585919
91296,0.448886
91297,0.448886
93145,0.34646
93150,0.182379
102830,0.56961
102831,0.56961
102834,0.291169
102904,0.223349
102909,0.416667
110230,0.02148
111909,0.625696
111984,0.045346
112898,0.06782
112979,0.326969
112984,0.273071
112989,0.138624
113053,0.352029
113054,0.352029
113058,0.558671
113063,0.290175
113128,0.380469
113133,0.31066
113138,0.602228
113202,0.187749
113207,0.494431
113212,0.184964
114989,0.970764
117234,0.336118
117814,0.111774
118920,0.540374
121388,0.480907
124364,0.441329
124365,0.441329
127936,0.442522
127937,0.442522
130692,0.323787
130693,0.323787
130766,0.713206
130841,0.214797
130915,0.643596
133812,0.43934
134467,0.129674
134541,0.042363
137423,0.026253
137498,0.34109
137499,0.34109
139217,0.033015
139667,0.668457
139741,0.215394
140996,0.109189
142981,0.522275
142986,0.241846
143056,0.370724
143057,0.370724
143061,0.632458
147412,0.056086
147417,0.255171
147422,0.128282
147487,0.049125
147492,0.485481
147497,0.393795
158111,0.572991
158112,0.572991
158116,0.31424
159163,0.338703
159164,0.338703
159168,0.161098
161091,0.261933
162123,0.424224
