ParameterName=Insulation Floors Interzonal						
Dependency=Location Region	Dependency=Vintage	Uninsulated	R-13 Fiberglass Batt, Gr-1	R-19 Fiberglass Batt, Gr-1	R-30 Fiberglass Batt, Gr-1	R-38 Fiberglass Batt, Gr-1
CR02	pre-1950	1	0	0	0	0
CR03	pre-1950	1	0	0	0	0
CR04	pre-1950	1	0	0	0	0
CR05	pre-1950	1	0	0	0	0
CR06	pre-1950	1	0	0	0	0
CR07	pre-1950	1	0	0	0	0
CR08	pre-1950	1	0	0	0	0
CR09	pre-1950	1	0	0	0	0
CR10	pre-1950	1	0	0	0	0
CR11	pre-1950	1	0	0	0	0
CR02	1950s	1	0	0	0	0
CR03	1950s	1	0	0	0	0
CR04	1950s	1	0	0	0	0
CR05	1950s	1	0	0	0	0
CR06	1950s	1	0	0	0	0
CR07	1950s	1	0	0	0	0
CR08	1950s	1	0	0	0	0
CR09	1950s	1	0	0	0	0
CR10	1950s	1	0	0	0	0
CR11	1950s	1	0	0	0	0
CR02	1960s	1	0	0	0	0
CR03	1960s	1	0	0	0	0
CR04	1960s	1	0	0	0	0
CR05	1960s	1	0	0	0	0
CR06	1960s	1	0	0	0	0
CR07	1960s	1	0	0	0	0
CR08	1960s	1	0	0	0	0
CR09	1960s	1	0	0	0	0
CR10	1960s	1	0	0	0	0
CR11	1960s	1	0	0	0	0
CR02	1970s	1	0	0	0	0
CR03	1970s	1	0	0	0	0
CR04	1970s	1	0	0	0	0
CR05	1970s	1	0	0	0	0
CR06	1970s	1	0	0	0	0
CR07	1970s	1	0	0	0	0
CR08	1970s	1	0	0	0	0
CR09	1970s	1	0	0	0	0
CR10	1970s	1	0	0	0	0
CR11	1970s	1	0	0	0	0
CR02	1980s	0.62	0.14	0.24	0	0
CR03	1980s	0.77	0.06	0.17	0	0
CR04	1980s	0.41	0.26	0.33	0	0
CR05	1980s	0.56	0.2	0.24	0	0
CR06	1980s	0.23	0.17	0.6	0	0
CR07	1980s	0.47	0.2	0.33	0	0
CR08	1980s	0.41	0.12	0.47	0	0
CR09	1980s	0.57	0.2	0.23	0	0
CR10	1980s	0.41	0.51	0.08	0	0
CR11	1980s	0.23	0.17	0.6	0	0
CR02	1990s	0.23	0.17	0.6	0	0
CR03	1990s	0.62	0.14	0.24	0	0
CR04	1990s	0.77	0.06	0.17	0	0
CR05	1990s	0.41	0.26	0.33	0	0
CR06	1990s	0.56	0.2	0.24	0	0
CR07	1990s	0.23	0.17	0.6	0	0
CR08	1990s	0.47	0.2	0.33	0	0
CR09	1990s	0.41	0.12	0.47	0	0
CR10	1990s	0.57	0.2	0.23	0	0
CR11	1990s	0.41	0.51	0.08	0	0
CR02	2000s	0	0	0	1	0
CR03	2000s	0	0	0	1	0
CR04	2000s	0	0	0	1	0
CR05	2000s	0	0	0	1	0
CR06	2000s	0	0	0	1	0
CR07	2000s	0	0	1	0	0
CR08	2000s	0	0	1	0	0
CR09	2000s	0	1	0	0	0
CR10	2000s	0	1	0	0	0
CR11	2000s	0	0	1	0	0
