ParameterName=Heating Equipment																																							
Dependency=Location	Dependency=Vintage	Dependency=Heating Fuel	"Gas Boiler, 80% AFUE"	"Gas Boiler, 76% AFUE"	"Gas Boiler, 72% AFUE"	"Propane Boiler, 80% AFUE"	"Propane Boiler, 76% AFUE"	"Propane Boiler, 72% AFUE"	"Oil Boiler, 90% AFUE"	"Oil Boiler, 80% AFUE"	"Oil Boiler, 76% AFUE"	"Electric Boiler, 100% AFUE"	"Gas Furnace, 96% AFUE"	"Gas Furnace, 92.5% AFUE"	"Gas Furnace, 80% AFUE"	"Gas Furnace, 76% AFUE"	"Gas Furnace, 60% AFUE"	"Propane Furnace, 96% AFUE"	"Propane Furnace, 92% AFUE"	"Propane Furnace, 80% AFUE"	"Propane Furnace, 76% AFUE"	"Propane Furnace, 60% AFUE"	"Oil Furnace, 95% AFUE"	"Oil Furnace, 90% AFUE"	"Oil Furnace, 80% AFUE"	"Oil Furnace, 76% AFUE"	"Gas Wall/Floor Furnace, 68% AFUE"	"Gas Wall/Floor Furnace, 60% AFUE"	"Propane Wall/Floor Furnace, 68% AFUE"	"Propane Wall/Floor Furnace, 60% AFUE"	"Oil Wall/Floor Furnace, 68% AFUE"	"Oil Wall/Floor Furnace, 60% AFUE"	"Electric Furnace, 100% AFUE"	"Electric Baseboard, 100% Efficiency"	"ASHP, SEER 15, 8.5 HSPF"	"ASHP, SEER 13, 7.7 HSPF"	"ASHP, SEER 10, 6.2 HSPF"	"ASHP, SEER 8, 6.0 HSPF"	No Heating
CR01	1950s	Natural Gas	0.68	0.13	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
CR02	1950s	Natural Gas	0.08	0.01	0.02	0	0	0	0	0	0	0	0	0.2	0.41	0.2	0.05	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0
CR03	1950s	Natural Gas	0.05	0.01	0.01	0	0	0	0	0	0	0	0	0.21	0.41	0.21	0.05	0	0	0	0	0	0	0	0	0	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0
CR04	1950s	Natural Gas	0.24	0.05	0.06	0	0	0	0	0	0	0	0	0.15	0.31	0.15	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR05	1950s	Natural Gas	0.02	0	0.01	0	0	0	0	0	0	0	0	0.23	0.46	0.23	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR06	1950s	Natural Gas	0.09	0.02	0.02	0	0	0	0	0	0	0	0	0.18	0.37	0.19	0.04	0	0	0	0	0	0	0	0	0	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0.01
CR07	1950s	Natural Gas	0.15	0.03	0.04	0	0	0	0	0	0	0	0	0.18	0.37	0.18	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
CR08	1950s	Natural Gas	0.03	0.01	0.01	0	0	0	0	0	0	0	0	0.19	0.39	0.19	0.05	0	0	0	0	0	0	0	0	0	0.07	0.06	0	0	0	0	0	0	0	0	0	0	0
CR09	1950s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.19	0.39	0.19	0.05	0	0	0	0	0	0	0	0	0	0.1	0.08	0	0	0	0	0	0	0	0	0	0	0
CR10	1950s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.14	0.28	0.14	0.03	0	0	0	0	0	0	0	0	0	0.22	0.19	0	0	0	0	0	0	0	0	0	0	0
CR11	1950s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.17	0.35	0.18	0.04	0	0	0	0	0	0	0	0	0	0.13	0.11	0	0	0	0	0	0	0	0	0	0	0.02
CR12	1950s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1950s	Propane/LPG	0	0	0	0.68	0.13	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
CR02	1950s	Propane/LPG	0	0	0	0.08	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0.2	0.41	0.2	0.05	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0
CR03	1950s	Propane/LPG	0	0	0	0.05	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.21	0.41	0.21	0.05	0	0	0	0	0	0	0.03	0.02	0	0	0	0	0	0	0	0	0
