Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Option=No Windows	Option=Low-E, Double, High-Gain	Option=Low-E, Double, Low-Gain
CR02	2030s	Mobile Home	0.000000	1.000000	0.000000	1.000000	0.000000
CR02	2030s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	1.000000	0.000000
CR02	2030s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	1.000000	0.000000
CR02	2030s	Single-Family Attached	0.000000	1.000000	0.000000	1.000000	0.000000
CR02	2030s	Single-Family Detached	0.000000	1.000000	0.000000	1.000000	0.000000
CR03	2030s	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2030s	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2030s	Mobile Home	0.000000	1.000000	0.000000	1.000000	0.000000
CR04	2030s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	1.000000	0.000000
CR04	2030s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	1.000000	0.000000
CR04	2030s	Single-Family Attached	0.000000	1.000000	0.000000	1.000000	0.000000
CR04	2030s	Single-Family Detached	0.000000	1.000000	0.000000	1.000000	0.000000
CR05	2030s	Mobile Home	0.000000	1.000000	0.000000	1.000000	0.000000
CR05	2030s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	1.000000	0.000000
CR05	2030s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	1.000000	0.000000
CR05	2030s	Single-Family Attached	0.000000	1.000000	0.000000	1.000000	0.000000
CR05	2030s	Single-Family Detached	0.000000	1.000000	0.000000	1.000000	0.000000
CR06	2030s	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2030s	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2030s	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2030s	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2030s	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
CR07	2030s	Mobile Home	0.000000	1.000000	0.000000	1.000000	0.000000
CR07	2030s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	1.000000	0.000000
CR07	2030s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	1.000000	0.000000
CR07	2030s	Single-Family Attached	0.000000	1.000000	0.000000	1.000000	0.000000
CR07	2030s	Single-Family Detached	0.000000	1.000000	0.000000	1.000000	0.000000
CR08	2030s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2030s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2030s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2030s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2030s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2030s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2030s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2030s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2030s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2030s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2030s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2030s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2030s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2030s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2030s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR11	2030s	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR11	2030s	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR11	2030s	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR11	2030s	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR11	2030s	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
