Minute,Fraction
2636,0.469902
2637,0.469902
2638,0.469902
2773,0.383718
2774,0.383718
2775,0.383718
2776,0.383718
2777,0.383718
2778,0.383718
9065,0.521612
9066,0.521612
9067,0.521612
9068,0.521612
9069,0.521612
9070,0.521612
9071,0.521612
12506,0.509149
12507,0.509149
17003,0.537125
17004,0.537125
17005,0.537125
17006,0.537125
17007,0.537125
17008,0.537125
17009,0.537125
32239,0.423628
32240,0.423628
32241,0.423628
32242,0.423628
32243,0.423628
40819,0.235746
40820,0.235746
40821,0.235746
40822,0.235746
40823,0.235746
40824,0.235746
40825,0.235746
40826,0.235746
47426,0.592548
47427,0.592548
47428,0.592548
47429,0.592548
47430,0.592548
47431,0.592548
47432,0.592548
47433,0.592548
47434,0.592548
47435,0.592548
51258,0.810395
51259,0.810395
51260,0.810395
51261,0.810395
51262,0.810395
51263,0.810395
58838,0.614028
58839,0.614028
58840,0.614028
58841,0.614028
58842,0.614028
58843,0.614028
58844,0.614028
63080,0.527711
63081,0.527711
63082,0.527711
63083,0.527711
63084,0.527711
63085,0.527711
67467,0.339167
67468,0.339167
67469,0.339167
67470,0.339167
67471,0.339167
67472,0.339167
68823,0.605675
68824,0.605675
68825,0.605675
68826,0.605675
68827,0.605675
75184,0.568682
75185,0.568682
75186,0.568682
75187,0.568682
75188,0.568682
75189,0.568682
76868,0.702731
76869,0.702731
76870,0.702731
76871,0.702731
76872,0.702731
76873,0.702731
76874,0.702731
76875,0.702731
76876,0.702731
79752,0.649695
79753,0.649695
79754,0.649695
79755,0.649695
79756,0.649695
80388,0.690135
80389,0.690135
80390,0.690135
80391,0.690135
80392,0.690135
80393,0.690135
87546,0.579289
87547,0.579289
87548,0.579289
87549,0.579289
87550,0.579289
103483,0.59825
103484,0.59825
103485,0.59825
103486,0.59825
116422,0.492708
116423,0.492708
116424,0.492708
129385,0.513259
129386,0.513259
129387,0.513259
129388,0.513259
129389,0.513259
129390,0.513259
129394,0.594007
129395,0.594007
129396,0.594007
129397,0.594007
133693,0.476266
133694,0.476266
133695,0.476266
133696,0.476266
138089,0.555688
138090,0.555688
138091,0.555688
138092,0.555688
138093,0.555688
138094,0.555688
138095,0.555688
138096,0.555688
145896,0.750199
145897,0.750199
145898,0.750199
145899,0.750199
145900,0.750199
145901,0.750199
145902,0.750199
145903,0.750199
155436,0.526651
155437,0.526651
159776,0.458499
159777,0.458499
159778,0.458499
160343,0.487934
160344,0.487934
160345,0.487934
160346,0.487934
160347,0.487934
160348,0.487934
160349,0.487934
161014,0.407717
178335,0.725272
178336,0.725272
178337,0.725272
178338,0.725272
178339,0.725272
178340,0.725272
178341,0.725272
178342,0.725272
178345,0.497083
178346,0.497083
178347,0.497083
178348,0.497083
178349,0.497083
178350,0.497083
182704,0.834394
182705,0.834394
182706,0.834394
191172,0.743039
191173,0.743039
191174,0.743039
191175,0.743039
192886,0.666401
192887,0.666401
192888,0.666401
192889,0.666401
192890,0.666401
192891,0.666401
195530,0.63816
195531,0.63816
195532,0.63816
195533,0.63816
195534,0.63816
197699,0.476531
197700,0.476531
197701,0.476531
197702,0.476531
200916,0.532087
200917,0.532087
200918,0.532087
200919,0.532087
200920,0.532087
204236,0.469902
204237,0.469902
204238,0.469902
204373,0.383718
204374,0.383718
204375,0.383718
204376,0.383718
204377,0.383718
204378,0.383718
210665,0.521612
210666,0.521612
210667,0.521612
210668,0.521612
210669,0.521612
210670,0.521612
210671,0.521612
214316,0.469902
214317,0.469902
214318,0.469902
214453,0.383718
214454,0.383718
214455,0.383718
214456,0.383718
214457,0.383718
214458,0.383718
220745,0.521612
220746,0.521612
220747,0.521612
220748,0.521612
220749,0.521612
220750,0.521612
220751,0.521612
229798,0.428136
229799,0.428136
229800,0.428136
229801,0.428136
229802,0.428136
229803,0.428136
229804,0.428136
229805,0.428136
230275,0.487934
230276,0.487934
230277,0.487934
230278,0.487934
230279,0.487934
230280,0.487934
230281,0.487934
230282,0.487934
230283,0.781225
230284,0.781225
230285,0.781225
230286,0.781225
230287,0.781225
230288,0.781225
230289,0.781225
231934,0.816097
231935,0.816097
231936,0.816097
231937,0.816097
235349,0.556351
235350,0.556351
235351,0.556351
235352,0.556351
235353,0.556351
235354,0.556351
235355,0.556351
235356,0.556351
236159,0.711748
236160,0.711748
236161,0.711748
236162,0.711748
236163,0.711748
236164,0.711748
236165,0.711748
236166,0.711748
236282,0.498542
236283,0.498542
236284,0.498542
236285,0.498542
236286,0.498542
236287,0.498542
236288,0.498542
244257,0.621851
244258,0.621851
244259,0.621851
244260,0.621851
244261,0.621851
244262,0.621851
244263,0.621851
247570,0.586847
247571,0.586847
247572,0.586847
247573,0.586847
253992,0.724344
253993,0.724344
253994,0.724344
253995,0.724344
253996,0.724344
253997,0.724344
253998,0.724344
254861,0.856669
254862,0.856669
254863,0.856669
