Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Option=No Windows	Option=Low-E, Double, High-Gain	Option=Low-E, Double, Low-Gain
CR02	2020s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR02	2020s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR02	2020s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR02	2020s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR02	2020s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR03	2020s	Mobile Home	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR04	2020s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR04	2020s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR04	2020s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR04	2020s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR05	2020s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR05	2020s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR05	2020s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR05	2020s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR05	2020s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR06	2020s	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2020s	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2020s	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2020s	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR06	2020s	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
CR07	2020s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR07	2020s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR07	2020s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR07	2020s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR07	2020s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2020s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2020s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2020s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2020s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR08	2020s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2020s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2020s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2020s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2020s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR09	2020s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2020s	Mobile Home	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2020s	Multi-Family with 2 - 4 Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2020s	Multi-Family with 5+ Units	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2020s	Single-Family Attached	0.000000	1.000000	0.000000	0.000000	0.000000
CR10	2020s	Single-Family Detached	0.000000	1.000000	0.000000	0.000000	0.000000
CR11	2020s	Mobile Home	0.000000	0.000000	0.000000	1.000000	0.000000
CR11	2020s	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR11	2020s	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	1.000000	0.000000
CR11	2020s	Single-Family Attached	0.000000	0.000000	0.000000	1.000000	0.000000
CR11	2020s	Single-Family Detached	0.000000	0.000000	0.000000	1.000000	0.000000
