Dependency=Location	Dependency=Vintage	"Uninsulated, 2x4, 16 in o.c."	"R-7 Fiberglass Batt, Gr-1, 2x4, 16 in o.c."	"R-13 Fiberglass Batt, Gr-1, 2x4, 16 in o.c."	"R-19 Fiberglass Batt, Gr-1, 2x6, 24 in o.c."
CR01	1950s	1.00	0.00	0.00	0.00
CR01	1960s	1.00	0.00	0.00	0.00
CR01	1970s	0.50	0.50	0.00	0.00
CR01	1980s	0.01	0.02	0.90	0.06
CR01	1990s	0.01	0.02	0.90	0.06
CR01	2000s	0.01	0.02	0.90	0.06
CR01	pre-1950	1.00	0.00	0.00	0.00
CR02	1950s	1.00	0.00	0.00	0.00
CR02	1960s	1.00	0.00	0.00	0.00
CR02	1970s	0.50	0.50	0.00	0.00
CR02	1980s	0.01	0.01	0.75	0.24
CR02	1990s	0.01	0.01	0.75	0.24
CR02	2000s	0.01	0.01	0.75	0.24
CR02	pre-1950	1.00	0.00	0.00	0.00
CR03	1950s	1.00	0.00	0.00	0.00
CR03	1960s	1.00	0.00	0.00	0.00
CR03	1970s	0.48	0.52	0.00	0.00
CR03	1980s	0.02	0.07	0.83	0.08
CR03	1990s	0.02	0.07	0.83	0.08
CR03	2000s	0.02	0.07	0.83	0.08
CR03	pre-1950	1.00	0.00	0.00	0.00
CR04	1950s	1.00	0.00	0.00	0.00
CR04	1960s	1.00	0.00	0.00	0.00
CR04	1970s	0.50	0.50	0.00	0.00
CR04	1980s	0.01	0.02	0.57	0.41
CR04	1990s	0.01	0.02	0.57	0.41
CR04	2000s	0.01	0.02	0.57	0.41
CR04	pre-1950	1.00	0.00	0.00	0.00
CR05	1950s	1.00	0.00	0.00	0.00
CR05	1960s	1.00	0.00	0.00	0.00
CR05	1970s	0.50	0.50	0.00	0.00
CR05	1980s	0.01	0.01	0.82	0.17
CR05	1990s	0.01	0.01	0.82	0.17
CR05	2000s	0.01	0.01	0.82	0.17
CR05	pre-1950	1.00	0.00	0.00	0.00
CR06	1950s	1.00	0.00	0.00	0.00
CR06	1960s	1.00	0.00	0.00	0.00
CR06	1970s	0.50	0.50	0.00	0.00
CR06	1980s	0.01	0.02	0.90	0.06
CR06	1990s	0.01	0.02	0.90	0.06
CR06	2000s	0.01	0.02	0.90	0.06
CR06	pre-1950	1.00	0.00	0.00	0.00
CR07	1950s	1.00	0.00	0.00	0.00
CR07	1960s	1.00	0.00	0.00	0.00
CR07	1970s	0.51	0.49	0.00	0.00
CR07	1980s	0.02	0.00	0.84	0.14
CR07	1990s	0.02	0.00	0.84	0.14
CR07	2000s	0.02	0.00	0.84	0.14
CR07	pre-1950	1.00	0.00	0.00	0.00
CR08	1950s	1.00	0.00	0.00	0.00
CR08	1960s	1.00	0.00	0.00	0.00
CR08	1970s	0.51	0.49	0.00	0.00
CR08	1980s	0.02	0.00	0.84	0.14
CR08	1990s	0.02	0.00	0.84	0.14
CR08	2000s	0.02	0.00	0.84	0.14
CR08	pre-1950	1.00	0.00	0.00	0.00
CR09	1950s	1.00	0.00	0.00	0.00
CR09	1960s	1.00	0.00	0.00	0.00
CR09	1970s	0.51	0.49	0.00	0.00
CR09	1980s	0.04	0.01	0.90	0.05
CR09	1990s	0.04	0.01	0.90	0.05
CR09	2000s	0.04	0.01	0.90	0.05
CR09	pre-1950	1.00	0.00	0.00	0.00
CR10	1950s	1.00	0.00	0.00	0.00
CR10	1960s	1.00	0.00	0.00	0.00
CR10	1970s	0.48	0.52	0.00	0.00
CR10	1980s	0.02	0.07	0.83	0.08
CR10	1990s	0.02	0.07	0.83	0.08
CR10	2000s	0.02	0.07	0.83	0.08
CR10	pre-1950	1.00	0.00	0.00	0.00
CR11	1950s	1.00	0.00	0.00	0.00
CR11	1960s	1.00	0.00	0.00	0.00
CR11	1970s	0.50	0.50	0.00	0.00
CR11	1980s	0.01	0.02	0.90	0.06
CR11	1990s	0.01	0.02	0.90	0.06
CR11	2000s	0.01	0.02	0.90	0.06
CR11	pre-1950	1.00	0.00	0.00	0.00
CR12	1950s	1.00	0.00	0.00	0.00
CR12	1960s	1.00	0.00	0.00	0.00
CR12	1970s	0.50	0.50	0.00	0.00
CR12	1980s	0.01	0.02	0.90	0.06
CR12	1990s	0.01	0.02	0.90	0.06
CR12	2000s	0.01	0.02	0.90	0.06
CR12	pre-1950	1.00	0.00	0.00	0.00
