Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=2020s	Option=2030s	Option=2040s	Option=2050s	sample_count	sample_weight
AL, 00100	10 to 19 Unit	 0.000000	0.010866	0.015213	 0.078065	 0.350914	 0.154144	 0.160099	0.046219	 0.115637	 0.068843	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	2 Unit	 0.030657	0.027111	0.068551	 0.193419	 0.216651	 0.060836	 0.113654	0.128531	 0.100662	 0.059928	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	20 to 49 Unit	 0.017609	0.000000	0.072939	 0.178481	 0.136780	 0.129584	 0.247519	0.064833	 0.095437	 0.056817	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	3 or 4 Unit	 0.029554	0.011973	0.106667	 0.070225	 0.158670	 0.166000	 0.151421	0.060288	 0.153699	 0.091503	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	5 to 9 Unit	 0.005952	0.001522	0.016167	 0.012470	 0.195016	 0.104451	 0.211912	0.119663	 0.208637	 0.124210	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	50 or more Unit	 0.066910	0.039040	0.057214	 0.065729	 0.360569	 0.053275	 0.156546	0.049081	 0.095050	 0.056587	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	Mobile Home	 0.001881	0.005108	0.005108	 0.049697	 0.049697	 0.318670	 0.318670	0.073881	 0.051236	 0.126052	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	Single-Family Attached	 0.000000	0.083237	0.032790	 0.078470	 0.237081	 0.174204	 0.119454	0.019773	 0.092056	 0.162933	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00100	Single-Family Detached	 0.058423	0.041776	0.102932	 0.154676	 0.196927	 0.102596	 0.124708	0.112946	 0.037912	 0.067103	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00200	10 to 19 Unit	 0.006833	0.000000	0.000000	 0.071902	 0.110205	 0.237955	 0.170509	0.112483	 0.142181	 0.147932	0.000000	0.000000	0.000000	0.000000	0.000000
