Dependency=Location	Dependency=Vintage	Dependency=Size	Dependency=Stories	Option=25 ACH50	Option=20 ACH50	Option=15 ACH50	Option=10 ACH50	Option=8 ACH50	Option=7 ACH50	Option=6 ACH50	Option=5 ACH50	Option=4 ACH50	Option=3 ACH50	Option=2 ACH50	Option=1 ACH50
CR01	1970s	0-1499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR01	1970s	1500-2499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR01	1970s	1500-2499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR01	1970s	1500-2499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR01	1970s	2500-3499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR01	1970s	2500-3499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR01	1970s	2500-3499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR01	1970s	3500-4499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR01	1970s	3500-4499	2	0	0	0	0	0	1	0	0	0	0	0	0
CR01	1970s	3500-4499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR01	1970s	4500+	1	0	0	0	0	0	0	1	0	0	0	0	0
CR01	1970s	4500+	2	0	0	0	0	0	0	0	1	0	0	0	0
CR01	1970s	4500+	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR01	1980s	0-1499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR01	1980s	0-1499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR01	1980s	0-1499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR01	1980s	1500-2499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR01	1980s	1500-2499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR01	1980s	1500-2499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR01	1980s	2500-3499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR01	1980s	2500-3499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR01	1980s	2500-3499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR01	1980s	3500-4499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR01	1980s	3500-4499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR01	1980s	3500-4499	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR01	1980s	4500+	1	0	0	0	0	0	0	0	1	0	0	0	0
CR01	1980s	4500+	2	0	0	0	0	0	0	0	0	1	0	0	0
CR01	1980s	4500+	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR01	1990s	0-1499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR01	1990s	0-1499	2	0	0	0	0	0	1	0	0	0	0	0	0
CR01	1990s	0-1499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR01	1990s	1500-2499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR01	1990s	1500-2499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR01	1990s	1500-2499	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR01	1990s	2500-3499	1	0	0	0	0	0	0	0	1	0	0	0	0
CR01	1990s	2500-3499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR01	1990s	2500-3499	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR01	1990s	3500-4499	1	0	0	0	0	0	0	0	0	1	0	0	0
CR01	1990s	3500-4499	2	0	0	0	0	0	0	0	0	1	0	0	0
CR01	1990s	3500-4499	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR01	1990s	4500+	1	0	0	0	0	0	0	0	0	1	0	0	0
CR01	1990s	4500+	2	0	0	0	0	0	0	0	0	0	1	0	0
CR01	1990s	4500+	3+	0	0	0	0	0	0	0	0	0	1	0	0
CR01	2000s	0-1499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR01	2000s	0-1499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR01	2000s	0-1499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR01	2000s	1500-2499	1	0	0	0	0	0	0	0	1	0	0	0	0
CR01	2000s	1500-2499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR01	2000s	1500-2499	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR01	2000s	2500-3499	1	0	0	0	0	0	0	0	1	0	0	0	0
CR01	2000s	2500-3499	2	0	0	0	0	0	0	0	0	1	0	0	0
CR01	2000s	2500-3499	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR01	2000s	3500-4499	1	0	0	0	0	0	0	0	0	1	0	0	0
CR01	2000s	3500-4499	2	0	0	0	0	0	0	0	0	1	0	0	0
CR01	2000s	3500-4499	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR01	2000s	4500+	1	0	0	0	0	0	0	0	0	0	1	0	0
CR01	2000s	4500+	2	0	0	0	0	0	0	0	0	0	1	0	0
CR01	2000s	4500+	3+	0	0	0	0	0	0	0	0	0	1	0	0
CR02	pre-1950	0-1499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR02	pre-1950	0-1499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR02	pre-1950	0-1499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR02	pre-1950	1500-2499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR02	pre-1950	1500-2499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	pre-1950	1500-2499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	pre-1950	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR02	pre-1950	2500-3499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	pre-1950	2500-3499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	pre-1950	3500-4499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR02	pre-1950	3500-4499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR02	pre-1950	3500-4499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR02	pre-1950	4500+	1	0	0	0	0	0	1	0	0	0	0	0	0
CR02	pre-1950	4500+	2	0	0	0	0	0	0	1	0	0	0	0	0
CR02	pre-1950	4500+	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1950s	0-1499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR02	1950s	0-1499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR02	1950s	0-1499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR02	1950s	1500-2499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1950s	1500-2499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1950s	1500-2499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1950s	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1950s	2500-3499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1950s	2500-3499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1950s	3500-4499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1950s	3500-4499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1950s	3500-4499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1950s	4500+	1	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1950s	4500+	2	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1950s	4500+	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1960s	1500-2499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR02	1960s	0-1499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1960s	0-1499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1960s	1500-2499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1960s	1500-2499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1960s	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1960s	2500-3499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1960s	2500-3499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1960s	3500-4499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1960s	3500-4499	2	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1960s	3500-4499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1960s	4500+	1	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1960s	4500+	2	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1960s	4500+	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1960s	0-1499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1970s	0-1499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1970s	0-1499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1970s	0-1499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1970s	1500-2499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1970s	1500-2499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1970s	1500-2499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1970s	2500-3499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1970s	2500-3499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1970s	2500-3499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1970s	3500-4499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1970s	3500-4499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1970s	3500-4499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1970s	4500+	1	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1970s	4500+	2	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1970s	4500+	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1980s	0-1499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1980s	0-1499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1980s	0-1499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR02	1980s	1500-2499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1980s	1500-2499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1980s	1500-2499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1980s	2500-3499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1980s	2500-3499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1980s	2500-3499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1980s	3500-4499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1980s	3500-4499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1980s	3500-4499	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1980s	4500+	1	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1980s	4500+	2	0	0	0	0	0	0	0	0	1	0	0	0
CR02	1980s	4500+	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR02	1990s	0-1499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR02	1990s	0-1499	2	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1990s	0-1499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR02	1990s	1500-2499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1990s	1500-2499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1990s	1500-2499	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR02	1990s	2500-3499	1	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1990s	2500-3499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1990s	2500-3499	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR02	1990s	3500-4499	1	0	0	0	0	0	0	0	0	1	0	0	0
CR02	1990s	3500-4499	2	0	0	0	0	0	0	0	0	1	0	0	0
CR02	1990s	3500-4499	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR02	1990s	4500+	1	0	0	0	0	0	0	0	0	1	0	0	0
CR02	1990s	4500+	2	0	0	0	0	0	0	0	0	0	1	0	0
CR02	1990s	4500+	3+	0	0	0	0	0	0	0	0	0	1	0	0
CR02	2000s	0-1499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR02	2000s	0-1499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR02	2000s	0-1499	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR02	2000s	1500-2499	1	0	0	0	0	0	0	0	1	0	0	0	0
CR02	2000s	1500-2499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR02	2000s	1500-2499	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR02	2000s	2500-3499	1	0	0	0	0	0	0	0	0	1	0	0	0
CR02	2000s	2500-3499	2	0	0	0	0	0	0	0	0	1	0	0	0
CR02	2000s	2500-3499	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR02	2000s	3500-4499	1	0	0	0	0	0	0	0	0	1	0	0	0
CR02	2000s	3500-4499	2	0	0	0	0	0	0	0	0	1	0	0	0
CR02	2000s	3500-4499	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR02	2000s	4500+	1	0	0	0	0	0	0	0	0	0	1	0	0
CR02	2000s	4500+	2	0	0	0	0	0	0	0	0	0	1	0	0
CR02	2000s	4500+	3+	0	0	0	0	0	0	0	0	0	1	0	0
CR03	pre-1950	0-1499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR03	pre-1950	0-1499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR03	pre-1950	0-1499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR03	pre-1950	1500-2499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR03	pre-1950	1500-2499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR03	pre-1950	1500-2499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR03	pre-1950	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	pre-1950	2500-3499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR03	pre-1950	2500-3499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR03	pre-1950	3500-4499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	pre-1950	3500-4499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR03	pre-1950	3500-4499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR03	pre-1950	4500+	1	0	0	0	0	1	0	0	0	0	0	0	0
CR03	pre-1950	4500+	2	0	0	0	0	0	1	0	0	0	0	0	0
CR03	pre-1950	4500+	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1950s	0-1499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1950s	0-1499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1950s	0-1499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1950s	1500-2499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1950s	1500-2499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1950s	1500-2499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1950s	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1950s	2500-3499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1950s	2500-3499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1950s	3500-4499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1950s	3500-4499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1950s	3500-4499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1950s	4500+	1	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1950s	4500+	2	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1950s	4500+	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1960s	1500-2499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1960s	0-1499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1960s	0-1499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1960s	1500-2499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1960s	1500-2499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1960s	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1960s	2500-3499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1960s	2500-3499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1960s	3500-4499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1960s	3500-4499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1960s	3500-4499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1960s	4500+	1	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1960s	4500+	2	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1960s	4500+	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1960s	0-1499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1970s	0-1499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1970s	0-1499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1970s	0-1499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR03	1970s	1500-2499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1970s	1500-2499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1970s	1500-2499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1970s	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1970s	2500-3499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1970s	2500-3499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1970s	3500-4499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1970s	3500-4499	2	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1970s	3500-4499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1970s	4500+	1	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1970s	4500+	2	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1970s	4500+	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1980s	0-1499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1980s	0-1499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1980s	0-1499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1980s	1500-2499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR03	1980s	1500-2499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1980s	1500-2499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1980s	2500-3499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1980s	2500-3499	2	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1980s	2500-3499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1980s	3500-4499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1980s	3500-4499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1980s	3500-4499	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1980s	4500+	1	0	0	0	0	0	0	0	1	0	0	0	0
CR03	1980s	4500+	2	0	0	0	0	0	0	0	1	0	0	0	0
CR03	1980s	4500+	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR03	1990s	0-1499	1	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1990s	0-1499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1990s	0-1499	3+	0	0	0	0	1	0	0	0	0	0	0	0
CR03	1990s	1500-2499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1990s	1500-2499	2	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1990s	1500-2499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR03	1990s	2500-3499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1990s	2500-3499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR03	1990s	2500-3499	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR03	1990s	3500-4499	1	0	0	0	0	0	0	0	1	0	0	0	0
CR03	1990s	3500-4499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR03	1990s	3500-4499	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR03	1990s	4500+	1	0	0	0	0	0	0	0	0	1	0	0	0
CR03	1990s	4500+	2	0	0	0	0	0	0	0	0	1	0	0	0
CR03	1990s	4500+	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR03	2000s	0-1499	1	0	0	0	0	0	1	0	0	0	0	0	0
CR03	2000s	0-1499	2	0	0	0	0	0	1	0	0	0	0	0	0
CR03	2000s	0-1499	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR03	2000s	1500-2499	1	0	0	0	0	0	0	1	0	0	0	0	0
CR03	2000s	1500-2499	2	0	0	0	0	0	0	1	0	0	0	0	0
CR03	2000s	1500-2499	3+	0	0	0	0	0	0	1	0	0	0	0	0
CR03	2000s	2500-3499	1	0	0	0	0	0	0	0	1	0	0	0	0
CR03	2000s	2500-3499	2	0	0	0	0	0	0	0	1	0	0	0	0
CR03	2000s	2500-3499	3+	0	0	0	0	0	0	0	1	0	0	0	0
CR03	2000s	3500-4499	1	0	0	0	0	0	0	0	0	1	0	0	0
CR03	2000s	3500-4499	2	0	0	0	0	0	0	0	0	1	0	0	0
CR03	2000s	3500-4499	3+	0	0	0	0	0	0	0	0	1	0	0	0
CR03	2000s	4500+	1	0	0	0	0	0	0	0	0	0	1	0	0
CR03	2000s	4500+	2	0	0	0	0	0	0	0	0	0	1	0	0
CR03	2000s	4500+	3+	0	0	0	0	0	0	0	0	0	1	0	0
CR04	pre-1950	0-1499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR04	pre-1950	0-1499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR04	pre-1950	0-1499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR04	pre-1950	1500-2499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR04	pre-1950	1500-2499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR04	pre-1950	1500-2499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR04	pre-1950	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR04	pre-1950	2500-3499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR04	pre-1950	2500-3499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR04	pre-1950	3500-4499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR04	pre-1950	3500-4499	2	0	0	0	0	1	0	0	0	0	0	0	0
CR04	pre-1950	3500-4499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR04	pre-1950	4500+	1	0	0	0	0	1	0	0	0	0	0	0	0
CR04	pre-1950	4500+	2	0	0	0	0	0	1	0	0	0	0	0	0
CR04	pre-1950	4500+	3+	0	0	0	0	0	1	0	0	0	0	0	0
CR04	1950s	0-1499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR04	1950s	0-1499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR04	1950s	0-1499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR04	1950s	1500-2499	1	0	0	1	0	0	0	0	0	0	0	0	0
CR04	1950s	1500-2499	2	0	0	1	0	0	0	0	0	0	0	0	0
CR04	1950s	1500-2499	3+	0	0	1	0	0	0	0	0	0	0	0	0
CR04	1950s	2500-3499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR04	1950s	2500-3499	2	0	0	0	1	0	0	0	0	0	0	0	0
CR04	1950s	2500-3499	3+	0	0	0	1	0	0	0	0	0	0	0	0
CR04	1950s	3500-4499	1	0	0	0	1	0	0	0	0	0	0	0	0
CR04	1950s	3500-4499	2	0	0	0	0	1	0	0	0	0	0	0	0
