Dependency=Location Region	Dependency=Vintage	Option=Uninsulated	"Option=2ft R5 Perimeter, R5 Gap"	"Option=2ft R10 Perimeter, R10 Gap"	Option=2ft R5 Exterior	Option=2ft R10 Exterior
CR02	pre-1950	1	0	0	0	0
CR03	pre-1950	1	0	0	0	0
CR04	pre-1950	1	0	0	0	0
CR05	pre-1950	1	0	0	0	0
CR06	pre-1950	1	0	0	0	0
CR07	pre-1950	1	0	0	0	0
CR08	pre-1950	1	0	0	0	0
CR09	pre-1950	1	0	0	0	0
CR10	pre-1950	1	0	0	0	0
CR11	pre-1950	1	0	0	0	0
CR02	1950s	1	0	0	0	0
CR03	1950s	1	0	0	0	0
CR04	1950s	1	0	0	0	0
CR05	1950s	1	0	0	0	0
CR06	1950s	1	0	0	0	0
CR07	1950s	1	0	0	0	0
CR08	1950s	1	0	0	0	0
CR09	1950s	1	0	0	0	0
CR10	1950s	1	0	0	0	0
CR11	1950s	1	0	0	0	0
CR02	1960s	1	0	0	0	0
CR03	1960s	1	0	0	0	0
CR04	1960s	1	0	0	0	0
CR05	1960s	1	0	0	0	0
CR06	1960s	1	0	0	0	0
CR07	1960s	1	0	0	0	0
CR08	1960s	1	0	0	0	0
CR09	1960s	1	0	0	0	0
CR10	1960s	1	0	0	0	0
CR11	1960s	1	0	0	0	0
CR02	1970s	1	0	0	0	0
CR03	1970s	1	0	0	0	0
CR04	1970s	1	0	0	0	0
CR05	1970s	1	0	0	0	0
CR06	1970s	1	0	0	0	0
CR07	1970s	1	0	0	0	0
CR08	1970s	1	0	0	0	0
CR09	1970s	1	0	0	0	0
CR10	1970s	1	0	0	0	0
CR11	1970s	1	0	0	0	0
CR02	1980s	0.84	0.07	0.09	0	0
CR03	1980s	0.83	0.11	0.06	0	0
CR04	1980s	1	0	0	0	0
CR05	1980s	0.26	0.14	0.6	0	0
CR06	1980s	1	0	0	0	0
CR07	1980s	0.45	0.46	0.1	0	0
CR08	1980s	0.91	0.09	0	0	0
CR09	1980s	0.86	0.14	0	0	0
CR10	1980s	0.84	0.16	0	0	0
CR11	1980s	1	0	0	0	0
CR02	1990s	0.03	0.39	0.18	0.05	0.35
CR03	1990s	0.03	0.39	0.01	0	0.57
CR04	1990s	0.07	0.34	0.32	0.02	0.25
CR05	1990s	0.02	0.17	0.23	0.22	0.36
CR06	1990s	0.01	0	0.28	0	0.71
CR07	1990s	0.01	0.12	0.08	0.65	0.14
CR08	1990s	0.03	0.05	0.31	0.46	0.15
CR09	1990s	0.63	0.14	0.12	0.06	0.05
CR10	1990s	0.87	0.01	0.01	0.08	0.03
CR11	1990s	0.54	0.31	0.03	0.05	0.07
CR02	2000s	0.01	0.05	0.04	0.19	0.72
CR03	2000s	0.01	0.02	0.14	0	0.83
CR04	2000s	0.05	0	0.5	0	0.45
CR05	2000s	0.01	0.04	0.14	0.2	0.62
CR06	2000s	0.01	0	0.29	0	0.7
CR07	2000s	0.01	0.51	0.03	0.03	0.42
CR08	2000s	0.11	0.27	0.03	0.38	0.21
CR09	2000s	0.67	0.02	0.18	0.06	0.08
CR10	2000s	0.69	0.1	0.07	0.06	0.07
CR11	2000s	0.74	0.13	0.01	0.11	0.01
