Building,Location Weather Year,Usage Level,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Interior Shading,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Has Heating Setpoint Offset,Has Cooling Setpoint Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Dehumidifier,Refrigerator,Refrigeration Schedule,Cooking Range,Cooking Range Schedule,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Plug Loads Schedule,Electric Vehicle,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Misc Pool Schedule,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio,Geometry Single Unit Horizontal Location,Geometry Single Unit Level,Geometry Single Unit Has Rear Units
11,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
12,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
13,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
14,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
15,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
16,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
17,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
18,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
19,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
20,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Bottom,False
21,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Right,Bottom,False
22,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Left,Top,False
23,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Top,False
24,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Top,False
25,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Top,False
26,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Top,False
27,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Top,False
28,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Top,False
29,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Single Exterior Front,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13,Middle,Top,False
