Minute,Fraction
4025,0.628383
4026,0.628383
4027,0.628383
4028,0.628383
4029,0.628383
4030,0.628383
4031,0.628383
18421,0.780127
18422,0.780127
18423,0.780127
18424,0.780127
18425,0.780127
18426,0.780127
21500,0.614919
21501,0.614919
21502,0.614919
21503,0.614919
21504,0.614919
21505,0.614919
21506,0.614919
42047,0.572775
42048,0.572775
42049,0.572775
42050,0.572775
42051,0.572775
42724,0.937391
42725,0.937391
42726,0.937391
42727,0.937391
43042,0.527804
43043,0.527804
43044,0.527804
43045,0.527804
43046,0.527804
43047,0.527804
56570,0.791571
56571,0.791571
60246,0.644002
60247,0.644002
60248,0.644002
60249,0.644002
60250,0.644002
60251,0.644002
60252,0.644002
60253,0.644002
69695,0.94318
69696,0.94318
69697,0.94318
69698,0.94318
69699,0.94318
69700,0.94318
69701,0.94318
75266,0.561196
75267,0.561196
75268,0.561196
75269,0.561196
75270,0.561196
75271,0.561196
81777,0.488084
81778,0.488084
81779,0.488084
81780,0.488084
81781,0.488084
81782,0.488084
81783,0.488084
81784,0.488084
91106,0.41605
91107,0.41605
91108,0.41605
91109,0.41605
91110,0.41605
91111,0.41605
91112,0.41605
91113,0.41605
107789,0.697186
107790,0.697186
114700,0.607109
114701,0.607109
114702,0.607109
114703,0.607109
114704,0.607109
114705,0.607109
114706,0.607109
114707,0.607109
114708,0.607109
122205,1
122206,1
122207,1
122208,1
122209,1
145430,0.331762
145431,0.331762
145432,0.331762
145433,0.331762
145434,0.331762
145435,0.331762
145436,0.331762
145974,0.612495
145975,0.612495
145976,0.612495
145977,0.612495
145978,0.612495
145979,0.612495
145980,0.612495
154710,0.501414
154711,0.501414
154712,0.501414
154713,0.501414
156275,0.786186
156276,0.786186
156277,0.786186
156278,0.786186
156279,0.786186
156280,0.786186
156281,0.786186
163823,0.362327
163824,0.362327
163825,0.362327
163826,0.362327
163827,0.362327
163828,0.362327
178470,0.379022
178471,0.379022
178472,0.379022
178473,0.379022
180483,0.505992
180484,0.505992
180485,0.505992
180486,0.505992
180487,0.505992
180488,0.505992
180489,0.505992
186979,0.603878
188241,0.642655
188242,0.642655
188243,0.642655
197096,0.4349
197097,0.4349
197098,0.4349
197099,0.4349
197100,0.4349
197101,0.4349
197102,0.4349
197103,0.4349
198519,0.646694
198520,0.646694
198521,0.646694
198522,0.646694
205625,0.628383
205626,0.628383
205627,0.628383
205628,0.628383
205629,0.628383
205630,0.628383
205631,0.628383
215705,0.628383
215706,0.628383
215707,0.628383
215708,0.628383
215709,0.628383
215710,0.628383
215711,0.628383
226971,0.53292
226972,0.53292
226973,0.53292
226974,0.53292
226975,0.53292
256860,0.591087
256861,0.591087
256862,0.591087
271985,0.525111
271986,0.525111
271987,0.525111
273516,0.607244
273517,0.607244
273518,0.607244
273519,0.607244
273520,0.607244
273521,0.607244
273522,0.607244
273523,0.607244
276235,0.366635
276236,0.366635
276237,0.366635
276238,0.366635
276239,0.366635
276240,0.366635
307553,0.418069
307554,0.418069
307555,0.418069
307556,0.418069
307557,0.418069
307558,0.418069
307559,0.418069
309310,0.80167
309311,0.80167
309312,0.80167
309313,0.80167
309314,0.80167
309315,0.80167
316505,0.628383
316506,0.628383
316507,0.628383
316508,0.628383
316509,0.628383
316510,0.628383
316511,0.628383
326585,0.628383
326586,0.628383
326587,0.628383
326588,0.628383
326589,0.628383
326590,0.628383
326591,0.628383
344086,0.501952
344087,0.501952
344088,0.501952
344089,0.501952
344090,0.501952
344091,0.501952
344092,0.501952
362191,0.324088
362192,0.324088
362193,0.324088
364117,0.431803
364118,0.431803
364119,0.431803
364120,0.431803
364121,0.431803
364122,0.431803
364123,0.431803
364124,0.431803
364125,0.431803
364163,0.490373
364164,0.490373
364165,0.490373
364166,0.490373
364167,0.490373
364168,0.490373
364169,0.490373
372273,0.531035
372274,0.531035
372275,0.531035
372276,0.531035
372277,0.531035
382782,0.736098
382783,0.736098
382784,0.736098
382785,0.736098
382786,0.736098
382787,0.736098
382788,0.736098
393748,0.591087
393749,0.591087
393750,0.591087
393751,0.591087
393752,0.591087
393753,0.591087
395646,0.974418
397168,0.489027
397169,0.489027
397170,0.489027
397171,0.489027
397172,0.489027
397173,0.489027
397174,0.489027
400691,0.499529
400692,0.499529
400693,0.499529
400694,0.499529
400695,0.499529
411645,0.785378
411646,0.785378
411647,0.785378
411648,0.785378
411649,0.785378
411650,0.785378
428902,0.820924
428903,0.820924
428904,0.820924
428905,0.820924
440406,0.736637
440407,0.736637
440408,0.736637
440409,0.736637
440410,0.736637
440411,0.736637
440540,0.710785
440541,0.710785
440542,0.710785
440543,0.710785
440544,0.710785
440993,0.878282
440994,0.878282
440995,0.878282
440996,0.878282
449927,0.404336
449928,0.404336
449929,0.404336
449930,0.404336
449931,0.404336
449932,0.404336
449933,0.404336
462169,0.689511
462170,0.689511
462171,0.689511
462172,0.689511
462173,0.689511
465607,0.616938
465608,0.616938
465609,0.616938
465610,0.616938
471464,0.365693
471465,0.365693
471466,0.365693
471467,0.365693
471468,0.365693
471469,0.365693
471470,0.365693
476271,0.852565
476272,0.852565
476273,0.852565
476274,0.852565
