Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.012283	0.014999	0.004606	0.032597	0.063305	0.008149	0.272067	0.014653	0.577340	0.000000	0.000000
AL, 00200	0.069492	0.108905	0.000000	0.000000	0.121870	0.027486	0.145563	0.013778	0.512907	0.000000	0.000000
AL, 00301	0.200505	0.000000	0.073797	0.015873	0.103316	0.047063	0.084197	0.023819	0.451431	0.000000	0.000000
AL, 00302	0.092636	0.000000	0.050208	0.019093	0.113851	0.164765	0.084197	0.013861	0.461388	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.003264	0.001757	0.011297	0.000000	0.592585	0.011790	0.379307	0.000000	0.000000
AL, 00500	0.018246	0.000000	0.042574	0.042574	0.060820	0.000000	0.207584	0.004913	0.623289	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.025544	0.096798	0.000000	0.371322	0.000000	0.506336	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.001352	0.002938	0.000000	0.000118	0.451019	0.000000	0.544573	0.000000	0.000000
AL, 00800	0.045952	0.000000	0.035230	0.042889	0.091139	0.000000	0.450052	0.006500	0.328238	0.000000	0.000000
AL, 00900	0.000000	0.038896	0.040111	0.000000	0.026741	0.000000	0.369226	0.000000	0.525026	0.000000	0.000000
AL, 01000	0.000000	0.019361	0.000000	0.007627	0.019557	0.007627	0.644550	0.003438	0.297840	0.000000	0.000000
AL, 01100	0.000000	0.010749	0.000000	0.000000	0.043446	0.006718	0.700722	0.025916	0.212448	0.000000	0.000000
AL, 01200	0.058634	0.028693	0.080777	0.000000	0.056139	0.114148	0.138404	0.035748	0.487457	0.000000	0.000000
AL, 01301	0.058844	0.020720	0.000000	0.019891	0.145867	0.027350	0.079237	0.000000	0.648091	0.000000	0.000000
AL, 01302	0.015358	0.000000	0.042886	0.013040	0.085481	0.115907	0.079237	0.133733	0.514358	0.000000	0.000000
AL, 01303	0.059291	0.000000	0.017925	0.024475	0.037919	0.133061	0.079237	0.040294	0.607797	0.000000	0.000000
AL, 01304	0.013996	0.000000	0.063762	0.075166	0.076721	0.043026	0.079237	0.000000	0.648091	0.000000	0.000000
AL, 01305	0.012962	0.053701	0.066200	0.012962	0.079163	0.047683	0.079237	0.002368	0.645723	0.000000	0.000000
AL, 01400	0.006238	0.000000	0.008466	0.028964	0.000000	0.000891	0.738870	0.000000	0.216570	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.178675	0.150087	0.242588	0.000000	0.428650	0.000000	0.000000
AL, 01600	0.059015	0.012174	0.062729	0.048904	0.083570	0.086252	0.191014	0.029537	0.426805	0.000000	0.000000
AL, 01700	0.003802	0.004309	0.016730	0.004309	0.005070	0.009126	0.820808	0.000000	0.135846	0.000000	0.000000
AL, 01800	0.003212	0.007494	0.000000	0.000000	0.035599	0.026766	0.567409	0.026137	0.333383	0.000000	0.000000
AL, 01900	0.085234	0.067227	0.053621	0.039216	0.058023	0.035414	0.250056	0.013286	0.397922	0.000000	0.000000
AL, 02000	0.063304	0.035274	0.013543	0.049131	0.036533	0.040313	0.138410	0.023962	0.599530	0.000000	0.000000
AL, 02100	0.008694	0.007468	0.017834	0.023184	0.031655	0.002452	0.328054	0.000000	0.580661	0.000000	0.000000
AL, 02200	0.000000	0.006270	0.000000	0.006270	0.036609	0.002832	0.703444	0.000000	0.244575	0.000000	0.000000
AL, 02300	0.000000	0.014079	0.012227	0.024083	0.031864	0.000000	0.403811	0.020412	0.493525	0.000000	0.000000
AL, 02400	0.054642	0.019199	0.043935	0.021783	0.152850	0.007753	0.301655	0.002867	0.395317	0.000000	0.000000
AL, 02500	0.030102	0.009896	0.105562	0.067626	0.038761	0.033813	0.357808	0.006328	0.350103	0.000000	0.000000
AL, 02600	0.037762	0.002564	0.052914	0.019347	0.041725	0.033799	0.217470	0.014564	0.579855	0.000000	0.000000
AL, 02701	0.047898	0.047898	0.039271	0.002975	0.016065	0.019338	0.244709	0.279469	0.302377	0.000000	0.000000
AL, 02702	0.048933	0.006621	0.052809	0.005652	0.043765	0.015665	0.244709	0.000000	0.581846	0.000000	0.000000
AL, 02703	0.031339	0.000000	0.000000	0.019182	0.046198	0.076727	0.244709	0.000000	0.581846	0.000000	0.000000
AR, 00100	0.079144	0.034499	0.056010	0.017046	0.110396	0.019888	0.072195	0.046828	0.563994	0.000000	0.000000
AR, 00200	0.115184	0.016223	0.095717	0.045100	0.043478	0.125243	0.079387	0.013036	0.466631	0.000000	0.000000
AR, 00300	0.000000	0.035281	0.009327	0.022710	0.000000	0.008922	0.377361	0.024362	0.522038	0.000000	0.000000
AR, 00400	0.002499	0.013031	0.004463	0.019993	0.008390	0.002499	0.495228	0.000000	0.453896	0.000000	0.000000
AR, 00500	0.067357	0.061963	0.006972	0.187073	0.037099	0.011445	0.149839	0.008174	0.470077	0.000000	0.000000
AR, 00600	0.000000	0.037171	0.000000	0.040768	0.199045	0.061152	0.290885	0.000000	0.370978	0.000000	0.000000
AR, 00700	0.000000	0.037298	0.000000	0.055948	0.000000	0.000000	0.566547	0.000000	0.340207	0.000000	0.000000
AR, 00800	0.178905	0.076333	0.000000	0.097801	0.045323	0.050093	0.497633	0.000937	0.052975	0.000000	0.000000
AR, 00900	0.264403	0.045455	0.098288	0.046169	0.075442	0.016659	0.116721	0.008537	0.328325	0.000000	0.000000
AR, 01000	0.116351	0.038784	0.084893	0.008619	0.054297	0.243474	0.116721	0.011116	0.325746	0.000000	0.000000
AR, 01100	0.156789	0.025406	0.047363	0.032846	0.082750	0.010707	0.221608	0.009176	0.413355	0.000000	0.000000
AR, 01200	0.123329	0.035731	0.013831	0.017865	0.072614	0.000000	0.237268	0.000000	0.499361	0.000000	0.000000
AR, 01300	0.151068	0.119749	0.000000	0.075534	0.000000	0.000000	0.301607	0.000000	0.352043	0.000000	0.000000
AR, 01400	0.032431	0.186888	0.000000	0.073656	0.117629	0.033530	0.126632	0.012230	0.417005	0.000000	0.000000
AR, 01500	0.019041	0.007451	0.009934	0.002484	0.015729	0.000000	0.495275	0.013580	0.436506	0.000000	0.000000
AR, 01600	0.061261	0.010086	0.014942	0.017183	0.022039	0.020171	0.317109	0.000000	0.537209	0.000000	0.000000
AR, 01700	0.019880	0.003746	0.005090	0.002497	0.008355	0.000000	0.649124	0.000000	0.311307	0.000000	0.000000
AR, 01800	0.027039	0.023496	0.000000	0.000000	0.002984	0.000000	0.680335	0.000000	0.266146	0.000000	0.000000
AR, 01900	0.000000	0.000000	0.017298	0.033564	0.000000	0.000000	0.662903	0.000000	0.286235	0.000000	0.000000
AR, 02000	0.017044	0.000000	0.044882	0.005113	0.040905	0.011362	0.504896	0.000000	0.375798	0.000000	0.000000
AZ, 00100	0.199238	0.000000	0.111272	0.023307	0.030074	0.088717	0.089155	0.003264	0.454973	0.000000	0.000000
AZ, 00101	0.111683	0.000000	0.096008	0.066618	0.103845	0.074455	0.089155	0.039421	0.418816	0.000000	0.000000
AZ, 00102	0.293132	0.013669	0.000000	0.045565	0.000000	0.100242	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00103	0.107632	0.000000	0.131091	0.026218	0.051056	0.136610	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00104	0.000000	0.000000	0.167403	0.142603	0.074401	0.068201	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00105	0.027782	0.020836	0.076399	0.017363	0.126175	0.184053	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00106	0.152965	0.000000	0.013620	0.000000	0.150869	0.135154	0.089155	0.045520	0.412717	0.000000	0.000000
AZ, 00107	0.145705	0.000000	0.091972	0.053733	0.078127	0.083072	0.089155	0.007424	0.450813	0.000000	0.000000
AZ, 00108	0.087345	0.000000	0.057569	0.018362	0.097271	0.192061	0.089155	0.095557	0.362681	0.000000	0.000000
AZ, 00109	0.078879	0.002268	0.054686	0.002772	0.030745	0.283258	0.089155	0.099171	0.359066	0.000000	0.000000
AZ, 00110	0.004832	0.006443	0.057985	0.000000	0.026738	0.356610	0.089155	0.024821	0.433416	0.000000	0.000000
AZ, 00111	0.000000	0.090522	0.000000	0.000000	0.000000	0.362087	0.089155	0.025877	0.432360	0.000000	0.000000
AZ, 00112	0.068759	0.008678	0.099801	0.057744	0.054073	0.163553	0.089155	0.048530	0.409707	0.000000	0.000000
AZ, 00113	0.213644	0.000000	0.031651	0.068049	0.000000	0.139264	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00114	0.047465	0.000000	0.133918	0.127137	0.000000	0.144089	0.089155	0.094808	0.363429	0.000000	0.000000
AZ, 00115	0.054169	0.000000	0.164913	0.074632	0.065002	0.093892	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00116	0.006209	0.006829	0.070157	0.103063	0.092508	0.173841	0.089155	0.052792	0.405445	0.000000	0.000000
AZ, 00117	0.000000	0.000000	0.000000	0.101625	0.000000	0.350983	0.089155	0.027061	0.431176	0.000000	0.000000
AZ, 00118	0.040254	0.000000	0.069346	0.047358	0.080509	0.215141	0.089155	0.059127	0.399110	0.000000	0.000000
AZ, 00119	0.040560	0.061761	0.155786	0.044247	0.048856	0.101399	0.089155	0.058935	0.399302	0.000000	0.000000
AZ, 00120	0.158635	0.000000	0.015531	0.000000	0.135339	0.143104	0.089155	0.017545	0.440692	0.000000	0.000000
AZ, 00121	0.267254	0.103453	0.000000	0.000000	0.000000	0.081901	0.089155	0.002810	0.455427	0.000000	0.000000
AZ, 00122	0.193529	0.034336	0.065550	0.000000	0.159193	0.000000	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00123	0.041489	0.000000	0.113152	0.181043	0.079206	0.037717	0.089155	0.077472	0.380765	0.000000	0.000000
AZ, 00124	0.191270	0.000000	0.085219	0.000000	0.073857	0.102263	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00125	0.000000	0.000000	0.000000	0.000000	0.000000	0.452608	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00126	0.101115	0.000000	0.163709	0.000000	0.103522	0.084262	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00127	0.071773	0.000000	0.017577	0.000000	0.036619	0.326640	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00128	0.000000	0.000000	0.000000	0.452608	0.000000	0.000000	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00129	0.153271	0.000000	0.079256	0.020305	0.103491	0.096286	0.089155	0.008562	0.449675	0.000000	0.000000
AZ, 00130	0.159615	0.000000	0.122445	0.000000	0.000000	0.170548	0.089155	0.023997	0.434240	0.000000	0.000000
AZ, 00131	0.116988	0.000000	0.207126	0.000000	0.032603	0.095892	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00132	0.000000	0.000000	0.026494	0.000000	0.000000	0.426114	0.089155	0.012508	0.445729	0.000000	0.000000
AZ, 00133	0.157257	0.013215	0.008590	0.018501	0.064092	0.190954	0.089155	0.000000	0.458237	0.000000	0.000000
AZ, 00134	0.081237	0.371371	0.000000	0.000000	0.000000	0.000000	0.089155	0.015789	0.442449	0.000000	0.000000
AZ, 00201	0.138829	0.027766	0.237077	0.017087	0.029902	0.027766	0.213827	0.004995	0.302753	0.000000	0.000000
AZ, 00202	0.185026	0.000000	0.103086	0.000000	0.064759	0.125554	0.213827	0.003338	0.304409	0.000000	0.000000
AZ, 00203	0.149075	0.073671	0.007800	0.000000	0.140407	0.107472	0.213827	0.005829	0.301918	0.000000	0.000000
AZ, 00204	0.056832	0.000000	0.084732	0.063032	0.113665	0.160164	0.213827	0.040017	0.267731	0.000000	0.000000
AZ, 00205	0.000000	0.000000	0.000000	0.478425	0.000000	0.000000	0.213827	0.004110	0.303637	0.000000	0.000000
AZ, 00206	0.068346	0.039299	0.000000	0.070055	0.000000	0.300724	0.213827	0.000000	0.307747	0.000000	0.000000
AZ, 00207	0.042141	0.038423	0.100395	0.089240	0.063212	0.145015	0.213827	0.029878	0.277869	0.000000	0.000000
AZ, 00208	0.000000	0.015948	0.000000	0.000000	0.000000	0.462478	0.213827	0.057929	0.249818	0.000000	0.000000
AZ, 00209	0.156726	0.140228	0.181472	0.000000	0.000000	0.000000	0.213827	0.133954	0.173794	0.000000	0.000000
AZ, 00300	0.000000	0.017134	0.000000	0.002363	0.014771	0.012998	0.553889	0.028450	0.370394	0.000000	0.000000
AZ, 00400	0.149952	0.027386	0.031427	0.003592	0.134687	0.047590	0.264845	0.053339	0.287182	0.000000	0.000000
AZ, 00500	0.022101	0.042360	0.061698	0.124317	0.035914	0.065381	0.396775	0.020370	0.231083	0.000000	0.000000
AZ, 00600	0.000000	0.006593	0.000000	0.021153	0.032691	0.007142	0.574713	0.027613	0.330095	0.000000	0.000000
AZ, 00700	0.032409	0.000000	0.000000	0.018030	0.043136	0.000000	0.577120	0.007752	0.321553	0.000000	0.000000
AZ, 00800	0.000000	0.003981	0.000000	0.075383	0.027340	0.005043	0.491525	0.016983	0.379744	0.000000	0.000000
AZ, 00803	0.000000	0.000000	0.000000	0.049836	0.000000	0.000000	0.488061	0.013439	0.448664	0.000000	0.000000
AZ, 00805	0.008306	0.008306	0.008306	0.008306	0.008306	0.008306	0.488061	0.007549	0.454554	0.000000	0.000000
AZ, 00807	0.000000	0.000000	0.000000	0.005594	0.000000	0.044242	0.488061	0.026767	0.435336	0.000000	0.000000
AZ, 00900	0.004235	0.000000	0.002515	0.004103	0.017999	0.003573	0.876658	0.005241	0.085677	0.000000	0.000000
CA, 00101	0.037219	0.067234	0.104453	0.051626	0.000000	0.310958	0.027368	0.060933	0.340210	0.000000	0.000000
CA, 00102	0.030569	0.007772	0.077200	0.039895	0.008808	0.407245	0.027368	0.306756	0.094387	0.000000	0.000000
CA, 00103	0.237502	0.000000	0.000000	0.000000	0.000000	0.333987	0.027368	0.142714	0.258428	0.000000	0.000000
CA, 00104	0.069433	0.028485	0.128185	0.060532	0.133526	0.151329	0.027368	0.023255	0.377888	0.000000	0.000000
CA, 00105	0.246590	0.026658	0.014995	0.048318	0.064980	0.169947	0.027368	0.109700	0.291442	0.000000	0.000000
CA, 00106	0.000000	0.000000	0.000000	0.000000	0.571490	0.000000	0.027368	0.042675	0.358468	0.000000	0.000000
CA, 00107	0.000000	0.000000	0.036074	0.022784	0.453774	0.058858	0.027368	0.203352	0.197791	0.000000	0.000000
CA, 00108	0.009472	0.000000	0.023154	0.033679	0.011577	0.493607	0.027368	0.204521	0.196621	0.000000	0.000000
CA, 00109	0.012108	0.000000	0.056907	0.044799	0.032691	0.424985	0.027368	0.172512	0.228631	0.000000	0.000000
CA, 00110	0.011376	0.014053	0.054205	0.000000	0.029444	0.462411	0.027368	0.088123	0.313020	0.000000	0.000000
CA, 00300	0.000000	0.000000	0.041865	0.029419	0.000000	0.000000	0.433050	0.000000	0.495665	0.000000	0.000000
CA, 00701	0.142970	0.029435	0.000000	0.118791	0.188174	0.122996	0.386883	0.000425	0.010324	0.000000	0.000000
CA, 00702	0.000000	0.000000	0.051766	0.075296	0.094120	0.381186	0.386883	0.000000	0.010750	0.000000	0.000000
CA, 01100	0.000000	0.021870	0.003771	0.016968	0.059578	0.008296	0.402391	0.078612	0.408514	0.000000	0.000000
CA, 01301	0.211817	0.000000	0.000000	0.000000	0.091787	0.155332	0.040000	0.224313	0.276750	0.000000	0.000000
CA, 01302	0.000000	0.105503	0.174079	0.000000	0.000000	0.179354	0.040000	0.091103	0.409961	0.000000	0.000000
CA, 01303	0.000000	0.352207	0.000000	0.000000	0.106729	0.000000	0.040000	0.054414	0.446650	0.000000	0.000000
CA, 01304	0.000000	0.063973	0.086224	0.031523	0.045430	0.231786	0.040000	0.122623	0.378441	0.000000	0.000000
CA, 01305	0.092797	0.013257	0.060602	0.041033	0.024620	0.226628	0.040000	0.057635	0.443429	0.000000	0.000000
CA, 01306	0.000000	0.000000	0.000000	0.071990	0.000000	0.386946	0.040000	0.060023	0.441041	0.000000	0.000000
CA, 01307	0.079431	0.079431	0.156656	0.000000	0.000000	0.143418	0.040000	0.027232	0.473832	0.000000	0.000000
CA, 01308	0.000000	0.000000	0.000000	0.000000	0.000000	0.458937	0.040000	0.016347	0.484717	0.000000	0.000000
CA, 01309	0.077464	0.130081	0.121311	0.000000	0.096464	0.033616	0.040000	0.005950	0.495114	0.000000	0.000000
CA, 01500	0.021979	0.021556	0.010144	0.000000	0.000000	0.014793	0.598878	0.000000	0.332649	0.000000	0.000000
CA, 01700	0.000000	0.000000	0.000000	0.000000	0.090093	0.000000	0.114069	0.018165	0.777673	0.000000	0.000000
CA, 01901	0.119094	0.000000	0.000000	0.195929	0.240109	0.019209	0.116164	0.013799	0.295696	0.000000	0.000000
CA, 01902	0.009292	0.000000	0.044135	0.229969	0.137052	0.153893	0.116164	0.003817	0.305678	0.000000	0.000000
CA, 01903	0.248474	0.000000	0.063137	0.130347	0.071283	0.061100	0.116164	0.000000	0.309495	0.000000	0.000000
CA, 01904	0.113895	0.085664	0.040399	0.186417	0.094426	0.053540	0.116164	0.030745	0.278750	0.000000	0.000000
CA, 01905	0.137342	0.021404	0.000000	0.126640	0.244362	0.044592	0.116164	0.012537	0.296957	0.000000	0.000000
CA, 01906	0.022197	0.000000	0.051330	0.158152	0.166476	0.176187	0.116164	0.006259	0.303235	0.000000	0.000000
CA, 01907	0.069525	0.075571	0.000000	0.126960	0.302285	0.000000	0.116164	0.000000	0.309495	0.000000	0.000000
CA, 02300	0.005724	0.007871	0.020035	0.073343	0.081930	0.000000	0.246407	0.111333	0.453356	0.000000	0.000000
CA, 02500	0.023023	0.000000	0.000000	0.047691	0.121693	0.044402	0.244141	0.040630	0.478421	0.000000	0.000000
CA, 02901	0.000000	0.065581	0.025040	0.127584	0.026232	0.172894	0.168720	0.000000	0.413949	0.000000	0.000000
CA, 02902	0.009660	0.091774	0.046370	0.101435	0.023185	0.144907	0.168720	0.016762	0.397186	0.000000	0.000000
CA, 02903	0.005717	0.190943	0.075463	0.054882	0.030871	0.059455	0.168720	0.013399	0.400550	0.000000	0.000000
CA, 02904	0.000000	0.000000	0.000000	0.158298	0.259033	0.000000	0.168720	0.000000	0.413949	0.000000	0.000000
CA, 02905	0.082660	0.108869	0.030241	0.011089	0.103829	0.080644	0.168720	0.007823	0.406126	0.000000	0.000000
CA, 03100	0.022177	0.000000	0.034688	0.052884	0.100082	0.039805	0.156613	0.005238	0.588512	0.000000	0.000000
CA, 03300	0.029863	0.005475	0.000000	0.037328	0.000000	0.011447	0.490060	0.011081	0.414746	0.000000	0.000000
CA, 03701	0.000000	0.000000	0.349475	0.000000	0.000000	0.349475	0.043755	0.021441	0.235855	0.000000	0.000000
CA, 03702	0.000000	0.000000	0.154099	0.123830	0.085305	0.335716	0.043755	0.024083	0.233213	0.000000	0.000000
CA, 03703	0.049222	0.000000	0.390493	0.000000	0.000000	0.259235	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03704	0.000000	0.000000	0.103178	0.000000	0.149775	0.445996	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03705	0.000000	0.000000	0.176415	0.009588	0.007670	0.505276	0.043755	0.071471	0.185825	0.000000	0.000000
CA, 03706	0.258399	0.000000	0.072013	0.000000	0.076249	0.292288	0.043755	0.036385	0.220911	0.000000	0.000000
CA, 03707	0.052522	0.000000	0.226249	0.153526	0.000000	0.266651	0.043755	0.015807	0.241490	0.000000	0.000000
CA, 03708	0.108725	0.000000	0.429724	0.000000	0.000000	0.160499	0.043755	0.055522	0.201774	0.000000	0.000000
CA, 03709	0.000000	0.000000	0.000000	0.000000	0.000000	0.698949	0.043755	0.021441	0.235855	0.000000	0.000000
CA, 03710	0.000000	0.000000	0.540364	0.000000	0.000000	0.158585	0.043755	0.073747	0.183549	0.000000	0.000000
CA, 03711	0.142159	0.000000	0.130313	0.094773	0.067131	0.264574	0.043755	0.117807	0.139489	0.000000	0.000000
CA, 03712	0.111275	0.000000	0.163436	0.000000	0.000000	0.424238	0.043755	0.047233	0.210063	0.000000	0.000000
CA, 03713	0.000000	0.000000	0.000000	0.000000	0.000000	0.698949	0.043755	0.084393	0.172903	0.000000	0.000000
CA, 03714	0.000000	0.000000	0.000000	0.000000	0.000000	0.698949	0.043755	0.236916	0.020380	0.000000	0.000000
CA, 03715	0.000000	0.061019	0.133133	0.000000	0.000000	0.504797	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03716	0.000000	0.000000	0.000000	0.000000	0.000000	0.698949	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03717	0.298218	0.000000	0.139790	0.000000	0.260941	0.000000	0.043755	0.026975	0.230322	0.000000	0.000000
CA, 03718	0.011633	0.031021	0.188067	0.009694	0.050410	0.408124	0.043755	0.106427	0.150869	0.000000	0.000000
CA, 03719	0.007575	0.021347	0.037185	0.101227	0.046138	0.485477	0.043755	0.142719	0.114577	0.000000	0.000000
CA, 03720	0.293559	0.000000	0.051922	0.000000	0.000000	0.353469	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03721	0.043786	0.000000	0.123249	0.000000	0.039731	0.492183	0.043755	0.022181	0.235116	0.000000	0.000000
CA, 03722	0.139790	0.000000	0.237000	0.010444	0.039366	0.272349	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03723	0.094018	0.000000	0.312981	0.000000	0.017319	0.274631	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03724	0.018222	0.000000	0.119745	0.048159	0.046857	0.465966	0.043755	0.036939	0.220358	0.000000	0.000000
CA, 03725	0.024336	0.007979	0.026729	0.002793	0.000000	0.637113	0.043755	0.078677	0.178619	0.000000	0.000000
CA, 03726	0.499249	0.080831	0.000000	0.000000	0.000000	0.118869	0.043755	0.008218	0.249078	0.000000	0.000000
CA, 03727	0.274003	0.000000	0.173055	0.000000	0.059608	0.192283	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03728	0.000000	0.014128	0.263221	0.030486	0.122688	0.268426	0.043755	0.000000	0.257296	0.000000	0.000000
CA, 03729	0.166597	0.000000	0.140850	0.009087	0.063610	0.318806	0.043755	0.013784	0.243512	0.000000	0.000000
CA, 03730	0.117266	0.015094	0.140486	0.000000	0.068502	0.357602	0.043755	0.049936	0.207360	0.000000	0.000000
CA, 03731	0.046381	0.000000	0.208175	0.000000	0.133750	0.310644	0.043755	0.075964	0.181333	0.000000	0.000000
CA, 03732	0.063379	0.015621	0.092836	0.037045	0.026780	0.463288	0.043755	0.000000	0.257296	0.000000	0.000000
