Dependency=Foundation Type	Dependency=Vintage	"10% Leakage, Uninsulated"	"20% Leakage, Uninsulated"	"30% Leakage, Uninsulated"	"10% Leakage, R-4"	"20% Leakage, R-4"	"30% Leakage, R-4"	"10% Leakage, R-6"	"20% Leakage, R-6"	"30% Leakage, R-6"	"10% Leakage, R-8"	"20% Leakage, R-8"	"30% Leakage, R-8"	In Finished Space
None	pre-1950	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
None	1950s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
None	1960s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
None	1970s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
None	1980s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
None	1990s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
None	2000s	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.47	0.27	0.00
Unheated Basement	pre-1950	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Unheated Basement	1950s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Unheated Basement	1960s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Unheated Basement	1970s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Unheated Basement	1980s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Unheated Basement	1990s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Unheated Basement	2000s	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00
Heated Basement	pre-1950	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Heated Basement	1950s	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Heated Basement	1960s	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Heated Basement	1970s	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Heated Basement	1980s	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Heated Basement	1990s	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Heated Basement	2000s	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
Crawl	pre-1950	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Crawl	1950s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Crawl	1960s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Crawl	1970s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Crawl	1980s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Crawl	1990s	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Crawl	2000s	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00
Slab	pre-1950	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Slab	1950s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Slab	1960s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Slab	1970s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Slab	1980s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Slab	1990s	0.00	0.00	0.00	0.26	0.47	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Slab	2000s	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.47	0.27	0.00
