occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,refrigerator,extra_refrigerator,freezer,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,dehumidifier,kitchen_fan,bath_fan
1,0.151,0.35,0.35,0,0.0733,0.55,0.55,0.55,0.0901,0.127,0.0741,1,0.618,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406,0.0901,0.127,0.391,1,0,0
1,0.355,0.331,0.331,0,0.167,0.58,0.58,0.58,0.18,0.253,0.198,1,0.693,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345,0.18,0.253,0.897,1,0,0
0.869,0.449,0.321,0.321,0,0.28,0.611,0.611,0.611,0.279,0.564,0.395,0.421,0.787,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145,0.279,0.564,1,1,0,0
0.41,0.477,0.312,0.312,0,0.307,0.626,0.626,0.626,0.523,0.84,0.593,0.421,0.806,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145,0.523,0.84,0.92,1,0,0
0.246,0.49,0.265,0.265,0,0.32,0.626,0.626,0.626,0.586,0.989,0.84,0.421,0.806,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115,0.586,0.989,0.77,1,0,0
0.246,0.477,0.208,0.208,0,0.28,0.611,0.611,0.611,0.505,0.966,0.963,0.421,0.806,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909,0.505,0.966,0.644,1,0,0
0.246,0.458,0.142,0.142,0,0.333,0.611,0.611,0.611,0.432,0.863,1,0.421,0.824,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849,0.432,0.863,0.54,1,0,0
0.246,0.445,0.113,0.113,0,0.38,0.641,0.641,0.641,0.369,0.771,0.914,0.421,0.843,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849,0.369,0.771,0.46,1,0,0
0.246,0.441,0.104,0.104,0,0.307,0.641,0.641,0.641,0.414,0.69,0.827,0.421,0.843,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849,0.414,0.69,0.402,1,0,0
0.246,0.448,0.104,0.104,0,0.38,0.641,0.641,0.641,0.324,0.564,0.704,0.421,0.824,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145,0.324,0.564,0.379,1,0,0
0.246,0.49,0.113,0.113,0,0.293,0.626,0.626,0.626,0.342,0.598,0.753,0.421,0.862,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352,0.342,0.598,0.356,1,0,0
0.295,0.602,0.18,0.18,0.0282,0.613,0.672,0.672,0.672,0.342,0.575,0.679,0.421,0.899,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764,0.342,0.575,0.448,1,0,0
0.541,0.798,0.35,0.35,0.345,1,0.733,0.733,0.733,0.441,0.564,0.667,0.421,0.974,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739,0.441,0.564,0.586,1,0,0
0.885,0.979,0.463,0.463,0.592,0.78,0.764,0.764,0.764,0.784,0.564,0.63,1,0.993,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412,0.784,0.564,0.69,1,0,0
0.885,0.991,0.615,0.615,0.683,0.4,0.733,0.733,0.733,1,0.564,0.63,1,0.937,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37,1,0.564,0.69,1,0,0
0.885,0.823,0.86,0.86,1,0.233,0.718,0.718,0.718,0.811,0.564,0.642,1,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309,0.811,0.564,0.632,1,0,0
1,0.621,0.993,0.993,0.676,0.167,0.703,0.703,0.703,0.604,0.541,0.667,1,0.843,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261,0.604,0.541,0.552,1,0,0
1,0.536,0.86,0.86,0.13,0.107,0.672,0.672,0.672,0.396,0.368,0.543,1,0.749,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145,0.396,0.368,0.437,1,0,0
1,0.249,0.596,0.596,0.0669,0.0733,0.626,0.626,0.626,0.279,0.196,0.296,1,0.674,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145,0.279,0.196,0.299,1,0,0
1,0.124,0.435,0.435,0,0.0467,0.611,0.611,0.611,0.135,0.104,0.123,1,0.656,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145,0.135,0.104,0.138,1,0,0
1,0.0743,0.435,0.435,0,0.0467,0.596,0.596,0.596,0.0631,0.0805,0.0741,1,0.618,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176,0.0631,0.0805,0.069,1,0,0
1,0.0495,0.435,0.435,0,0.0267,0.58,0.58,0.58,0.045,0.046,0.0494,1,0.599,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145,0.045,0.046,0.046,1,0,0
1,0.0495,0.435,0.435,0,0.0267,0.565,0.565,0.565,0.027,0.046,0.0247,1,0.581,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176,0.027,0.046,0.0575,1,0,0
1,0.055,0.435,0.435,0,0.0467,0.55,0.55,0.55,0.027,0.0805,0.0494,1,0.599,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285,0.027,0.0805,0.115,1,0,0
1,0.151,0.35,0.35,0,0.0733,0.55,0.55,0.55,0.0901,0.127,0.0741,1,0.618,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406,0.0901,0.127,0.391,1,0,0
1,0.355,0.331,0.331,0,0.167,0.58,0.58,0.58,0.18,0.253,0.198,1,0.693,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345,0.18,0.253,0.897,1,0,0
0.869,0.449,0.321,0.321,0,0.28,0.611,0.611,0.611,0.279,0.564,0.395,0.421,0.787,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145,0.279,0.564,1,1,0,0
0.41,0.477,0.312,0.312,0,0.307,0.626,0.626,0.626,0.523,0.84,0.593,0.421,0.806,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145,0.523,0.84,0.92,1,0,0
0.246,0.49,0.265,0.265,0,0.32,0.626,0.626,0.626,0.586,0.989,0.84,0.421,0.806,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115,0.586,0.989,0.77,1,0,0
0.246,0.477,0.208,0.208,0,0.28,0.611,0.611,0.611,0.505,0.966,0.963,0.421,0.806,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909,0.505,0.966,0.644,1,0,0
0.246,0.458,0.142,0.142,0,0.333,0.611,0.611,0.611,0.432,0.863,1,0.421,0.824,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849,0.432,0.863,0.54,1,0,0
0.246,0.445,0.113,0.113,0,0.38,0.641,0.641,0.641,0.369,0.771,0.914,0.421,0.843,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849,0.369,0.771,0.46,1,0,0
0.246,0.441,0.104,0.104,0,0.307,0.641,0.641,0.641,0.414,0.69,0.827,0.421,0.843,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849,0.414,0.69,0.402,1,0,0
0.246,0.448,0.104,0.104,0,0.38,0.641,0.641,0.641,0.324,0.564,0.704,0.421,0.824,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145,0.324,0.564,0.379,1,0,0
0.246,0.49,0.113,0.113,0,0.293,0.626,0.626,0.626,0.342,0.598,0.753,0.421,0.862,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352,0.342,0.598,0.356,1,0,0
0.295,0.602,0.18,0.18,0.0282,0.613,0.672,0.672,0.672,0.342,0.575,0.679,0.421,0.899,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764,0.342,0.575,0.448,1,0,0
0.541,0.798,0.35,0.35,0.345,1,0.733,0.733,0.733,0.441,0.564,0.667,0.421,0.974,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739,0.441,0.564,0.586,1,0,0
0.885,0.979,0.463,0.463,0.592,0.78,0.764,0.764,0.764,0.784,0.564,0.63,1,0.993,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412,0.784,0.564,0.69,1,0,0
0.885,0.991,0.615,0.615,0.683,0.4,0.733,0.733,0.733,1,0.564,0.63,1,0.937,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37,1,0.564,0.69,1,0,0
0.885,0.823,0.86,0.86,1,0.233,0.718,0.718,0.718,0.811,0.564,0.642,1,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309,0.811,0.564,0.632,1,0,0
1,0.621,0.993,0.993,0.676,0.167,0.703,0.703,0.703,0.604,0.541,0.667,1,0.843,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261,0.604,0.541,0.552,1,0,0
1,0.536,0.86,0.86,0.13,0.107,0.672,0.672,0.672,0.396,0.368,0.543,1,0.749,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145,0.396,0.368,0.437,1,0,0
1,0.249,0.596,0.596,0.0669,0.0733,0.626,0.626,0.626,0.279,0.196,0.296,1,0.674,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145,0.279,0.196,0.299,1,0,0
1,0.124,0.435,0.435,0,0.0467,0.611,0.611,0.611,0.135,0.104,0.123,1,0.656,0.0954,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145,0.135,0.104,0.138,1,0,0
1,0.0743,0.435,0.435,0,0.0467,0.596,0.596,0.596,0.0631,0.0805,0.0741,1,0.618,0.0464,1,0.266,0.00621,0.266,0.266,0.0235,0.0235,0.183,0.176,0.0631,0.0805,0.069,1,0,0
1,0.0495,0.435,0.435,0,0.0267,0.58,0.58,0.58,0.045,0.046,0.0494,1,0.599,0.0232,1,0.22,0.00621,0.22,0.22,0.0235,0.0235,0.151,0.145,0.045,0.046,0.046,1,0,0
1,0.0495,0.435,0.435,0,0.0267,0.565,0.565,0.565,0.027,0.046,0.0247,1,0.581,0.018,1,0.173,0.0124,0.173,0.173,0.0313,0.0313,0.183,0.176,0.027,0.046,0.0575,1,0,0
1,0.055,0.435,0.435,0,0.0467,0.55,0.55,0.55,0.027,0.0805,0.0494,1,0.599,0.0284,1,0.185,0.0435,0.185,0.185,0.0626,0.0626,0.296,0.285,0.027,0.0805,0.115,1,0,0
1,0.151,0.35,0.35,0,0.0733,0.55,0.55,0.55,0.0901,0.127,0.0741,1,0.618,0.0464,1,0.208,0.0745,0.208,0.208,0.117,0.117,0.422,0.406,0.0901,0.127,0.391,1,0,0
1,0.355,0.331,0.331,0,0.167,0.58,0.58,0.58,0.18,0.253,0.198,1,0.693,0.0747,1,0.301,0.18,0.301,0.301,0.203,0.203,0.359,0.345,0.18,0.253,0.897,1,0,0
0.869,0.449,0.321,0.321,0,0.28,0.611,0.611,0.611,0.279,0.564,0.395,0.421,0.787,0.103,1,0.381,0.286,0.381,0.381,0.344,0.344,0.151,0.145,0.279,0.564,1,1,0,0
0.41,0.477,0.312,0.312,0,0.307,0.626,0.626,0.626,0.523,0.84,0.593,0.421,0.806,0.126,1,0.381,0.273,0.381,0.381,0.657,0.657,0.151,0.145,0.523,0.84,0.92,1,0,0
0.246,0.49,0.265,0.265,0,0.32,0.626,0.626,0.626,0.586,0.989,0.84,0.421,0.806,0.149,1,0.37,0.255,0.37,0.37,0.947,0.947,0.12,0.115,0.586,0.989,0.77,1,0,0
0.246,0.477,0.208,0.208,0,0.28,0.611,0.611,0.611,0.505,0.966,0.963,0.421,0.806,0.168,1,0.381,0.273,0.381,0.381,0.994,0.994,0.0945,0.0909,0.505,0.966,0.644,1,0,0
0.246,0.458,0.142,0.142,0,0.333,0.611,0.611,0.611,0.432,0.863,1,0.421,0.824,0.186,1,0.381,0.286,0.381,0.381,0.947,0.947,0.0882,0.0849,0.432,0.863,0.54,1,0,0
0.246,0.445,0.113,0.113,0,0.38,0.641,0.641,0.641,0.369,0.771,0.914,0.421,0.843,0.196,1,0.37,0.261,0.37,0.37,0.939,0.939,0.0882,0.0849,0.369,0.771,0.46,1,0,0
0.246,0.441,0.104,0.104,0,0.307,0.641,0.641,0.641,0.414,0.69,0.827,0.421,0.843,0.222,1,0.37,0.236,0.37,0.37,0.704,0.704,0.0882,0.0849,0.414,0.69,0.402,1,0,0
0.246,0.448,0.104,0.104,0,0.38,0.641,0.641,0.641,0.324,0.564,0.704,0.421,0.824,0.235,1,0.37,0.304,0.37,0.37,0.587,0.587,0.151,0.145,0.324,0.564,0.379,1,0,0
0.246,0.49,0.113,0.113,0,0.293,0.626,0.626,0.626,0.342,0.598,0.753,0.421,0.862,0.263,1,0.381,0.366,0.381,0.381,0.477,0.477,0.365,0.352,0.342,0.598,0.356,1,0,0
0.295,0.602,0.18,0.18,0.0282,0.613,0.672,0.672,0.672,0.342,0.575,0.679,0.421,0.899,0.327,1,0.52,0.683,0.52,0.52,0.29,0.29,0.794,0.764,0.342,0.575,0.448,1,0,0
0.541,0.798,0.35,0.35,0.345,1,0.733,0.733,0.733,0.441,0.564,0.667,0.421,0.974,0.402,1,0.659,1,0.659,0.659,0.18,0.18,0.769,0.739,0.441,0.564,0.586,1,0,0
0.885,0.979,0.463,0.463,0.592,0.78,0.764,0.764,0.764,0.784,0.564,0.63,1,0.993,0.541,1,0.763,0.714,0.763,0.763,0.102,0.102,0.428,0.412,0.784,0.564,0.69,1,0,0
0.885,0.991,0.615,0.615,0.683,0.4,0.733,0.733,0.733,1,0.564,0.63,1,0.937,0.758,1,0.878,0.435,0.878,0.878,0.0626,0.0626,0.384,0.37,1,0.564,0.69,1,0,0
0.885,0.823,0.86,0.86,1,0.233,0.718,0.718,0.718,0.811,0.564,0.642,1,0.88,0.936,1,0.936,0.273,0.936,0.936,0.0313,0.0313,0.321,0.309,0.811,0.564,0.632,1,0,0
1,0.621,0.993,0.993,0.676,0.167,0.703,0.703,0.703,0.604,0.541,0.667,1,0.843,0.887,1,0.994,0.118,0.994,0.994,0.0235,0.0235,0.271,0.261,0.604,0.541,0.552,1,0,0
1,0.536,0.86,0.86,0.13,0.107,0.672,0.672,0.672,0.396,0.368,0.543,1,0.749,0.536,1,0.867,0.0807,0.867,0.867,0.0235,0.0235,0.151,0.145,0.396,0.368,0.437,1,0,0
1,0.249,0.596,0.596,0.0669,0.0733,0.626,0.626,0.626,0.279,0.196,0.296,1,0.674,0.232,1,0.751,0.0435,0.751,0.751,0.0235,0.0235,0.151,0.145,0.279,0.196,0.299,1,0,0
1,0.124,0.435,0.435,0,0.0467,0.611,0.611,0.611,0.135,0.104,0.123,1,0.656,0.113,1,0.509,0.0248,0.509,0.509,0.0235,0.0235,0.151,0.145,0.135,0.104,0.138,1,0,0
