Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3
Single-Family Attached	0-1499	2040s	0.488069	0.487722	0.024209
Single-Family Attached	1500-2499	2040s	0.349766	0.541658	0.108577
Single-Family Attached	2500-3999	2040s	0.364816	0.352073	0.283112
Single-Family Attached	4000+	2040s	0.170494	0.471644	0.357862
Single-Family Detached	0-1499	2040s	0.838622	0.161378	0.000000
Single-Family Detached	1500-2499	2040s	0.650375	0.345612	0.004012
Single-Family Detached	2500-3999	2040s	0.297882	0.690677	0.011441
Single-Family Detached	4000+	2040s	0.204168	0.765621	0.030211
Mobile Home	0-1499	2050s	1.000000	0.000000	0.000000
Mobile Home	1500-2499	2050s	1.000000	0.000000	0.000000
Mobile Home	2500-3999	2050s	1.000000	0.000000	0.000000
Mobile Home	4000+	2050s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2050s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	2050s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	2050s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	2050s	1.000000	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	2050s	0.069171	0.434233	0.496596
Multi-Family with 5+ Units	1500-2499	2050s	0.000000	0.195387	0.804613
Multi-Family with 5+ Units	2500-3999	2050s	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	4000+	2050s	0.333333	0.333333	0.333333
Single-Family Attached	0-1499	2050s	0.488069	0.487722	0.024209
Single-Family Attached	1500-2499	2050s	0.349766	0.541658	0.108577
Single-Family Attached	2500-3999	2050s	0.364816	0.352073	0.283112
Single-Family Attached	4000+	2050s	0.170494	0.471644	0.357862
Single-Family Detached	0-1499	2050s	0.838622	0.161378	0.000000
Single-Family Detached	1500-2499	2050s	0.650375	0.345612	0.004012
Single-Family Detached	2500-3999	2050s	0.297882	0.690677	0.011441
Single-Family Detached	4000+	2050s	0.204168	0.765621	0.030211
