Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Crawl	Option=Heated Basement	Option=Pier and Beam	Option=Slab	Option=Unheated Basement
4A	Single-Family Attached	2040s	0.253068	0.214134	0.000000	0.407610	0.125188
4A	Single-Family Detached	2040s	0.249853	0.211413	0.012706	0.402431	0.123597
4B	Mobile Home	2040s	0.000000	0.000000	1.000000	0.000000	0.000000
4B	Multi-Family with 2 - 4 Units	2040s	0.102633	0.000000	0.000000	0.883124	0.014243
4B	Multi-Family with 5+ Units	2040s	0.102633	0.000000	0.000000	0.883124	0.014243
4B	Single-Family Attached	2040s	0.102148	0.004725	0.000000	0.878951	0.014176
4B	Single-Family Detached	2040s	0.096770	0.004476	0.052654	0.832670	0.013429
4C	Mobile Home	2040s	0.000000	0.000000	1.000000	0.000000	0.000000
4C	Multi-Family with 2 - 4 Units	2040s	0.721454	0.000000	0.000000	0.278546	0.000000
4C	Multi-Family with 5+ Units	2040s	0.721454	0.000000	0.000000	0.278546	0.000000
4C	Single-Family Attached	2040s	0.698181	0.032259	0.000000	0.269560	0.000000
4C	Single-Family Detached	2040s	0.637537	0.029457	0.086859	0.246146	0.000000
5A	Mobile Home	2040s	0.000000	0.000000	1.000000	0.000000	0.000000
5A	Multi-Family with 2 - 4 Units	2040s	0.082139	0.000000	0.000000	0.577562	0.340299
5A	Multi-Family with 5+ Units	2040s	0.082139	0.000000	0.000000	0.577562	0.340299
5A	Single-Family Attached	2040s	0.046760	0.430717	0.000000	0.328796	0.193726
5A	Single-Family Detached	2040s	0.046407	0.427463	0.007556	0.326312	0.192262
5B	Mobile Home	2040s	0.000000	0.000000	1.000000	0.000000	0.000000
5B	Multi-Family with 2 - 4 Units	2040s	0.210715	0.000000	0.000000	0.582794	0.206491
5B	Multi-Family with 5+ Units	2040s	0.210715	0.000000	0.000000	0.582794	0.206491
5B	Single-Family Attached	2040s	0.187477	0.110281	0.000000	0.518523	0.183719
5B	Single-Family Detached	2040s	0.177221	0.104248	0.054703	0.490158	0.173669
6A	Mobile Home	2040s	0.000000	0.000000	1.000000	0.000000	0.000000
6A	Multi-Family with 2 - 4 Units	2040s	0.309760	0.000000	0.000000	0.300424	0.389817
6A	Multi-Family with 5+ Units	2040s	0.309760	0.000000	0.000000	0.300424	0.389817
6A	Single-Family Attached	2040s	0.193545	0.375176	0.000000	0.187712	0.243567
6A	Single-Family Detached	2040s	0.191604	0.371412	0.010031	0.185829	0.241124
6B	Mobile Home	2040s	0.000000	0.000000	1.000000	0.000000	0.000000
6B	Multi-Family with 2 - 4 Units	2040s	0.309760	0.000000	0.000000	0.300424	0.389817
6B	Multi-Family with 5+ Units	2040s	0.309760	0.000000	0.000000	0.300424	0.389817
6B	Single-Family Attached	2040s	0.193545	0.375176	0.000000	0.187712	0.243567
6B	Single-Family Detached	2040s	0.191604	0.371412	0.010031	0.185829	0.241124
7A	Mobile Home	2040s	0.000000	0.000000	1.000000	0.000000	0.000000
7A	Multi-Family with 2 - 4 Units	2040s	0.000000	0.000000	0.000000	0.649138	0.350862
7A	Multi-Family with 5+ Units	2040s	0.000000	0.000000	0.000000	0.649138	0.350862
7A	Single-Family Attached	2040s	0.000000	0.412361	0.000000	0.381459	0.206180
7A	Single-Family Detached	2040s	0.000000	0.412361	0.000000	0.381459	0.206180
7B	Mobile Home	2040s	0.000000	0.000000	1.000000	0.000000	0.000000
7B	Multi-Family with 2 - 4 Units	2040s	0.000000	0.000000	0.000000	0.649138	0.350862
7B	Multi-Family with 5+ Units	2040s	0.000000	0.000000	0.000000	0.649138	0.350862
7B	Single-Family Attached	2040s	0.000000	0.412361	0.000000	0.381459	0.206180
7B	Single-Family Detached	2040s	0.000000	0.412361	0.000000	0.381459	0.206180
1A	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	2050s	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Multi-Family with 5+ Units	2050s	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Single-Family Attached	2050s	0.069460	0.000000	0.000000	0.924908	0.005632
1A	Single-Family Detached	2050s	0.065036	0.000000	0.063701	0.865990	0.005273
2A	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
2A	Multi-Family with 2 - 4 Units	2050s	0.069460	0.000000	0.000000	0.924908	0.005632
2A	Multi-Family with 5+ Units	2050s	0.069460	0.000000	0.000000	0.924908	0.005632
2A	Single-Family Attached	2050s	0.069460	0.000000	0.000000	0.924908	0.005632
2A	Single-Family Detached	2050s	0.065036	0.000000	0.063701	0.865990	0.005273
2B	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
2B	Multi-Family with 2 - 4 Units	2050s	0.036639	0.000000	0.000000	0.963361	0.000000
2B	Multi-Family with 5+ Units	2050s	0.036639	0.000000	0.000000	0.963361	0.000000
2B	Single-Family Attached	2050s	0.036639	0.000000	0.000000	0.963361	0.000000
2B	Single-Family Detached	2050s	0.036639	0.000000	0.000000	0.963361	0.000000
3A	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
3A	Multi-Family with 2 - 4 Units	2050s	0.236294	0.000000	0.000000	0.712396	0.051309
3A	Multi-Family with 5+ Units	2050s	0.236294	0.000000	0.000000	0.712396	0.051309
3A	Single-Family Attached	2050s	0.232936	0.014215	0.000000	0.702269	0.050580
3A	Single-Family Detached	2050s	0.218845	0.013355	0.060493	0.659787	0.047520
3B	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
3B	Multi-Family with 2 - 4 Units	2050s	0.102633	0.000000	0.000000	0.883124	0.014243
3B	Multi-Family with 5+ Units	2050s	0.102633	0.000000	0.000000	0.883124	0.014243
3B	Single-Family Attached	2050s	0.102148	0.004725	0.000000	0.878951	0.014176
3B	Single-Family Detached	2050s	0.096770	0.004476	0.052654	0.832670	0.013429
3C	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
3C	Multi-Family with 2 - 4 Units	2050s	0.101611	0.000000	0.000000	0.885284	0.013105
3C	Multi-Family with 5+ Units	2050s	0.101611	0.000000	0.000000	0.885284	0.013105
3C	Single-Family Attached	2050s	0.101611	0.000000	0.000000	0.885284	0.013105
3C	Single-Family Detached	2050s	0.097921	0.000000	0.036317	0.853134	0.012629
4A	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
4A	Multi-Family with 2 - 4 Units	2050s	0.322025	0.000000	0.000000	0.518676	0.159299
4A	Multi-Family with 5+ Units	2050s	0.322025	0.000000	0.000000	0.518676	0.159299
4A	Single-Family Attached	2050s	0.253068	0.214134	0.000000	0.407610	0.125188
4A	Single-Family Detached	2050s	0.249853	0.211413	0.012706	0.402431	0.123597
4B	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
4B	Multi-Family with 2 - 4 Units	2050s	0.102633	0.000000	0.000000	0.883124	0.014243
4B	Multi-Family with 5+ Units	2050s	0.102633	0.000000	0.000000	0.883124	0.014243
4B	Single-Family Attached	2050s	0.102148	0.004725	0.000000	0.878951	0.014176
4B	Single-Family Detached	2050s	0.096770	0.004476	0.052654	0.832670	0.013429
4C	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
4C	Multi-Family with 2 - 4 Units	2050s	0.721454	0.000000	0.000000	0.278546	0.000000
4C	Multi-Family with 5+ Units	2050s	0.721454	0.000000	0.000000	0.278546	0.000000
4C	Single-Family Attached	2050s	0.698181	0.032259	0.000000	0.269560	0.000000
4C	Single-Family Detached	2050s	0.637537	0.029457	0.086859	0.246146	0.000000
5A	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
5A	Multi-Family with 2 - 4 Units	2050s	0.082139	0.000000	0.000000	0.577562	0.340299
5A	Multi-Family with 5+ Units	2050s	0.082139	0.000000	0.000000	0.577562	0.340299
5A	Single-Family Attached	2050s	0.046760	0.430717	0.000000	0.328796	0.193726
5A	Single-Family Detached	2050s	0.046407	0.427463	0.007556	0.326312	0.192262
5B	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
5B	Multi-Family with 2 - 4 Units	2050s	0.210715	0.000000	0.000000	0.582794	0.206491
5B	Multi-Family with 5+ Units	2050s	0.210715	0.000000	0.000000	0.582794	0.206491
5B	Single-Family Attached	2050s	0.187477	0.110281	0.000000	0.518523	0.183719
5B	Single-Family Detached	2050s	0.177221	0.104248	0.054703	0.490158	0.173669
6A	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
6A	Multi-Family with 2 - 4 Units	2050s	0.309760	0.000000	0.000000	0.300424	0.389817
6A	Multi-Family with 5+ Units	2050s	0.309760	0.000000	0.000000	0.300424	0.389817
6A	Single-Family Attached	2050s	0.193545	0.375176	0.000000	0.187712	0.243567
6A	Single-Family Detached	2050s	0.191604	0.371412	0.010031	0.185829	0.241124
6B	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
6B	Multi-Family with 2 - 4 Units	2050s	0.309760	0.000000	0.000000	0.300424	0.389817
6B	Multi-Family with 5+ Units	2050s	0.309760	0.000000	0.000000	0.300424	0.389817
6B	Single-Family Attached	2050s	0.193545	0.375176	0.000000	0.187712	0.243567
6B	Single-Family Detached	2050s	0.191604	0.371412	0.010031	0.185829	0.241124
7A	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
7A	Multi-Family with 2 - 4 Units	2050s	0.000000	0.000000	0.000000	0.649138	0.350862
7A	Multi-Family with 5+ Units	2050s	0.000000	0.000000	0.000000	0.649138	0.350862
7A	Single-Family Attached	2050s	0.000000	0.412361	0.000000	0.381459	0.206180
7A	Single-Family Detached	2050s	0.000000	0.412361	0.000000	0.381459	0.206180
7B	Mobile Home	2050s	0.000000	0.000000	1.000000	0.000000	0.000000
7B	Multi-Family with 2 - 4 Units	2050s	0.000000	0.000000	0.000000	0.649138	0.350862
7B	Multi-Family with 5+ Units	2050s	0.000000	0.000000	0.000000	0.649138	0.350862
7B	Single-Family Attached	2050s	0.000000	0.412361	0.000000	0.381459	0.206180
7B	Single-Family Detached	2050s	0.000000	0.412361	0.000000	0.381459	0.206180
