Dependency=Geometry Building Type ACS	Dependency=Vintage	Option=<5	Option=5 to 9 Units low	Option=5 to 9 Units high	Option=10 to 19 Units low	Option=10 to 19 Units high	Option=20 to 49 Units low	Option=20 to 49 Units high	Option=50 or more Units low	Option=50 or more Units high
2 Unit	1960s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2 Unit	1970s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2 Unit	1980s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2 Unit	1990s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2 Unit	2000s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2 Unit	2010s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	<1940	0.000000	0.000000	0.000000	0.519589	0.480411	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	1940s	0.000000	0.000000	0.000000	0.519589	0.480411	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	1950s	0.000000	0.000000	0.000000	0.865928	0.134072	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	1960s	0.000000	0.000000	0.000000	0.874832	0.125168	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	1970s	0.000000	0.000000	0.000000	0.944345	0.055655	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	1980s	0.000000	0.000000	0.000000	0.995115	0.004885	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	1990s	0.000000	0.000000	0.000000	0.986303	0.013697	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	2000s	0.000000	0.000000	0.000000	0.908838	0.091162	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	2010s	0.000000	0.000000	0.000000	0.908838	0.091162	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50 or more Unit	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174344	0.825656
5 to 9 Unit	2020s	0.000000	0.990752	0.009248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20 to 49 Unit	2020s	0.000000	0.000000	0.000000	0.000000	0.000000	0.737111	0.262889	0.000000	0.000000
2 Unit	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	2020s	0.000000	0.000000	0.000000	0.908838	0.091162	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	2030s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	2030s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	2030s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50 or more Unit	2030s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174344	0.825656
5 to 9 Unit	2030s	0.000000	0.990752	0.009248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	2030s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20 to 49 Unit	2030s	0.000000	0.000000	0.000000	0.000000	0.000000	0.737111	0.262889	0.000000	0.000000
2 Unit	2030s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	2030s	0.000000	0.000000	0.000000	0.908838	0.091162	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50 or more Unit	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174344	0.825656
5 to 9 Unit	2040s	0.000000	0.990752	0.009248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20 to 49 Unit	2040s	0.000000	0.000000	0.000000	0.000000	0.000000	0.737111	0.262889	0.000000	0.000000
2 Unit	2040s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	2040s	0.000000	0.000000	0.000000	0.908838	0.091162	0.000000	0.000000	0.000000	0.000000
Single-Family Detached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Single-Family Attached	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Mobile Home	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
50 or more Unit	2050s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174344	0.825656
5 to 9 Unit	2050s	0.000000	0.990752	0.009248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3 or 4 Unit	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
20 to 49 Unit	2050s	0.000000	0.000000	0.000000	0.000000	0.000000	0.737111	0.262889	0.000000	0.000000
2 Unit	2050s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
10 to 19 Unit	2050s	0.000000	0.000000	0.000000	0.908838	0.091162	0.000000	0.000000	0.000000	0.000000
